company_name_id,company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated
app-studio,app studio,www.subway.so,2014,Songpa-gu,Seoul,kr,05690,1 - 10,Private,,Transportation,,Public safety,A subway follow-up mobile app is characterized by enabling users to grasp subway service easily with subway route map through simulation in real or expected time. It helps using subway service in a more visualized way.,,,,,[],,2016-02-03 14:39:44.773773
aptap,APTAP,www.ygsvc.com,2013,Goyang-si,Gyeonggi-do,kr,10401,1 - 10,Private,Commission,Lifestyle/Consumer,,"Housing access, Informacion access","APTAP, a free-of-charge apartment information service, enables the apartment administration office to let apartment residents know notices in real time. The service is limited to apartment complexes with which free-of-charge collaboration contracts are concluded.  ",,,,,[],,2016-02-03 14:39:53.441744
aptzib,APTzib,"www.aptzib.com
",2014,Dongdaemun-gu,Seoul,kr,02597,1 - 10,Private,Housing/Real Estate,"Advertising, Mediation fee",,"Consumer empowerment, Financial access",,,,,,[],,2016-02-03 14:40:40.476308
aramin,aram-in,www.aram-in.com,2014,Seocho-gu,Seoul,kr,00000,1 - 10,Private,Data/Technology,Advertising,,Citizen engagement and participation,"We have developed ""Smart Butterfly"", a mass traffic navigation using public data. ",,,,,[],,2016-02-03 14:39:36.787813
archidraw,archidraw,archidraw.net,2014,Geumcheon-gu,Seoul,kr,08513,1 - 10,Private,Geospatial/Mapping,Software licensing,,Housing access,We plan to provide the services of client connection and free-of-charge advertising on the basis of a clear and reliable small architecture (remodeling & interior) company. ,,,,,[],,2016-02-03 14:39:50.928554
artpq,artpq,http://www.artpq.com/,2000,Jeju-si,Jeju-do,kr,63309,11 - 50,Private,Lifestyle/Consumer,"Consulting, Software licensing",,"Citizen engagement and participation, Travel information","Artpq concentrates on the development of internet-related application softwares, the building of database and the development of web-related technology in the IT field; the development of Jeju culture contents, multimedia contents, game and online contents, and character and cultural art goods in the CT field.",,,,,[],,2016-02-03 14:40:09.247831
atek,ATEK,http://www.atek21.com,2004,Yuseong-gu,Daejeon,kr,34016,11 - 50,Private,Data/Technology,"Data analysis for clients, Database licensing",,Consumer empowerment,"Established in 2004, ATEK, Inc. has placed top priority on the supply of safe information protection system under the mottoes of the development of information protection industry and the shared growth with customers on the basis of many-year technical experience in network environments such as government agencies, universities and private corporations.",,,,,[],,2016-02-03 14:40:12.044520
b2come,B2COME,baro-match.co.kr,2011,Jeonju-si,Jeollabuk-do,kr,54976,1 - 10,Private,Advertising,Sports,,Citizen engagement and participation,"BARO-MATC is a convenient soccer team matching app that enables to easily find a team to play with and a stadium to play in on a hoped-for date and time. We operate services, such as soccer & futsal team arrangement, stadium information, facilities reservation system, and soccer record management.   ",,,,,[],,2016-02-03 14:39:38.459944
b2en,B2en,http://www.:qEu?#.com,2004,Yeongdeungpo-gu,Seoul,kr,07217,51-200,Private,Data/Technology,"Consulting, Data analysis for clients, Software licensing",,,"In 2004, our company started with top-class experts with project experience and expertise under the banner of ""Let's create a better world with data.""   ",,,,,[],,2016-02-03 14:40:07.344958
bang9,bang9,http://www.bang9app.com,,,,kr,00000,,Private,Data/Technology,Advertising,,Consumer empowerment,"Search for Studio Apartments, Efficiency Apartments, Apartments / Rooms by Key-Money Lease or Monthly Rent across the Country",,,,,[],,2016-02-03 14:40:35.192736
bc-card-,bc card ,https://play.google.com/store/apps/details?id=com.bccard.worldcup&hl=ko,1983,Seocho-gu,Seoul,kr,06654,,Private,Business/Legal Services,Advertising,,Financial access,"We provide Chines travelers with information on money exchange, Seoul subway, airport bus and major shopping site coupons   ",,,,,[],,2016-02-03 14:40:29.555285
beetle,Beetle,-,2011,Nam-gu,Busan,kr,48534,1 - 10,Private,Data/Technology,Data analysis for clients,,,,,,,,[],,2016-02-03 14:40:20.782619
biodiv,biodiv,www.biodiv.co.kr,2013,Nowon-gu,Seoul,kr,01797,1 - 10,Private,Consulting,"Food/Agriculture, Consulting, Scientific Research",,"Environment and climate change, Food access and supply",We are an enterprise that keeps biodiversity value in agriculture and capitalizes it. Biodiv products are produced with the help of diverse living creatures. ,,,,,[],,2016-02-03 14:39:45.583881
biotube,biotube,www.biotube.co.kr,2013,Gwangjin-gu,Seoul,kr,05029,1 - 10,Private,Lifestyle/Consumer,Product production and sale,,Healthcare access,Biotube is a compound name of BIO (bioscience) and TUBE (delivery passage). We perform a basic study of fields related to beauty and health and  produce practical products that help consumers enjoy a healthy life.   ,,,,,[],,2016-02-03 14:40:01.570914
bispro,bispro,http://www.bispro.co.kr,2004,Seocho-gu,Seoul,kr,06753,,Private,Data/Technology,Consulting,,Financial access,"We support customer marketing tasks, and analyze relevant commercial sphere, customers, marketing areas, activity management functions etc.",,,,,[],,2016-02-03 14:40:30.900748
black-yak,black yak,https://play.google.com/store/apps/details?id=ko.mountainbook,,,,kr,00000,,,Lifestyle/Consumer ,,,Public safety ,"Black Yak Mountainbook is a useful application to support outdoor activities, such as mountain climbing, rock climbing, tracking, hiking and mountain bicycling. The application enables to check the course information necessary for tracking or mountain climbing and make GPS records. Its user can make records of his outdoor activities using photos, memos, location information.  ",,,,,[],,2016-02-03 14:40:37.403485
bnl-korea,BNL Korea,www.blessnlove.co.kr,2013,Gangnam-gu,Seoul,kr,06171,1 - 10,Private,Lifestyle/Consumer,Product production and sale,,Consumer empowerment,BNL KOREA seeks the convenience of life by upgrading life style and produces hand-made life space design products,,,,,[],,2016-02-03 14:39:59.908856
bobaedream,bobaedream,http://www.bobaedream.co.kr/,2000,Yangcheon-gu,Seoul,kr,07995,51-200,Private,Transportation,Advertising,,"Citizen engagement and participation, Consumer empowerment, Public safety","Unlike other internet sites offering simple vehicle sale information etc, BobaeDream was established to serve customers at reasonable prices, to stabilize the prices of used domestic and foreign automobiles and ultimately to reward customers. ",,,,,[],,2016-02-03 14:39:40.261759
brush-world,Brush world,www.bw1983.com,2006,Pyeongtaek-si,Gyeonggi-do,kr,17969,1 - 10,Private,Environment/Weather,Product production and sale ,,Citizen engagement and participation,"As a manufacturer of environment friendly life necessaries, Brush World, Inc. has made continuous R&D for environment friendly plastic raw materials and products over the past 30 years.  ",,,,,[],,2016-02-03 14:40:14.296884
carffeine,carffeine,www.carffeine.com,2013,Gangnam-gu,Seoul,kr,06151,51 - 200,Private,Advertising,"Data/Technology, Automobile",,"Citizen engagement and participation, Consumer empowerment, Public safety",We take the initiative in doing away with distrust in the after-sales market using the car history information and beefing up the rights and benefits of people. ,,,,,[],,2016-02-03 14:39:40.103992
cashslide,cashslide,http://site.cashslide.co.kr,2012,Seocho-gu,Seoul,kr,06728,51-200,Private,Data/Technology,Advertising,,,"This is a smart phone locking screen app to display recent news and trends on the first screen at a stroke. If locking is released, accumulated cash is available for product purchase, cash refund, donation etc.  ",,,,,[],,2016-02-03 14:40:33.608219
channel-breezezigbang,Channel Breeze(Zigbang),http://www.chbreeze.com,2012,Jongno-gu,Seoul,kr,03190,,,Data/Technology,Advertising,,Housing access,"Jikbang systematically manages all the steps for finding a room. 
If you post the information on your officetel, studio etc at our homepage, you can put it one sale or rent at all neighboring real estate agencies at a stroke.
Make use of Jikbang, even when putting your house on sale or rent.
",,,,,[],,2016-02-03 14:40:36.315800
cheonam-nonsan-expressway,cheonam nonsan expressway,http://www.cneway.co.kr,1997,Gongju-si,Chungcheongnam-do,kr,32600,51-200,Private,Transportation,,,Public safety,"Constructed by private investment, Cheonan-Nonsan Expressway seeks best service, comfort and quicker communication.",,,,,[],,2016-02-03 14:40:04.560600
ciel,Ciel,www.hellobus.co.kr,,,,kr,00000,,,Data/Technology ,Data analysis for clients,,Lifstye benefits,"This is a smart phone service for vehicle location management and arrival notification that helps service providers perform efficient bus management and bus route optimization and provides bus passengers and children with the convenience and safety of bus use by notifying the current locations and busstops of private institute and Kindergarten vehicles and sending an arrival message, if a vehicle enters a notification zone specified by a user.       ",,,,,[],,2016-02-03 14:40:35.529017
cj-hellovision,CJ HelloVision,http://www.cjhellovision.com,2012,Geumcheon-gu,Seoul,kr,08507,,Private,Media,Subscriptions,,,,,,,,[],,2016-02-03 14:40:30.110499
ckstack,CKSTACK,http://ckstack.com,2015,Seongnam-si,Gyeonggi-do,kr,13630,1 - 10,Private,Data/Technology,Software licensing,,Public safety,"We operate ""Our Festivals"" service using the sightseeing/festival information of the Korea Tourism Organization Headquarters.  ",,,,,[],,2016-02-03 14:40:03.571519
clk-,CLK ,https://play.google.com/store/apps/details?id=ddoraemi.start,2015,,,kr,00000,1 - 10,Private,Lifestyle/Consumer,Advertising,,Educational opportunity,"We recommend experience programs suitable for children in view of textbook content, season, distance and preference on the basis of the information their parents provided at the time of signup. They contain the contents of science and technology textbooks.",,,,,[],,2016-02-03 14:40:39.324465
clunix,clunix,http://www.clunix.com,2000,Yeongdeungpo-gu,Seoul,kr,07299,11 - 50,Private,Data/Technology,"Consulting, Solutions business ",,Public safety,We offer cloud computing and supercomputing big data solutions,,,,,[],,2016-02-03 14:40:29.845048
consilian-eye,consilian eye,,2014,,,kr,00000,1 - 10,,Transportation,-,,-,,,,,,[],,2016-02-03 14:39:51.148379
corezetta,corezetta,http://www.corezetta.com,2011,Seongnam-si,Gyeonggi-do,kr,13112,,Private,Data/Technology,"Consulting, Data analysis for clients",,Public safety,"We monitor and provide DMF information, bioequivalence plans, clinical plans, item licenses, and medical fees, which are open data information necessary for developing medicines",,,,,[],,2016-02-03 14:40:27.413436
creble,creble,http://www.creble.com,2009,Yuseong-gu,Daejeon,kr,34047,11 - 50,Private,Data/Technology,"Consulting, Advertising ",,,"As a leader in smart networking, we develop network solution technologies for smart networking and cloud computing and perform R&D and business for network engineering",,,,,[],,2016-02-03 14:40:31.165804
cufit,cufit,www.cufit.net,2015,Seongdong-gu,Seoul,kr,04798,1 - 10,Private,Advertising,"Data/Technology, Geospatial/Mapping, Transportation, Health/Medical",,"Healthcare access, Public safety",,,,,,[],,2016-02-03 14:39:38.927857
d5insight,d5insight,d5insight.com,2015,Seongbuk-gu,Seoul,kr,02832,1 - 10,Private,Data/Technology,User fees for web or mobile access,,Citizen engagement and participation,,,,,,[],,2016-02-03 14:39:45.417977
dabeeo,dabeeo,www.dabeeo.com,2012,Gangseo-gu,Seoul,kr,07563,11 - 50,Private,S/W licensing,"Data/Technology, Geospatial/Mapping",,"Consumer empowerment, Public safety","Not big as G company, but fun as G.
 Drawing global map, dreaming big service as they have
 Making the new and moving forward
 We are Dabeeo",,,,,[],,2016-02-03 14:39:43.841109
datepop,datepop,http://www.datepop.co.kr,2014,Gangnam-gu,Seoul,kr,06178,11 - 50,Private,Geospatial/Mapping,Advertising,,Citizen engagement and participation,"We introduce dating courses in Seoul area: tourist attractions, famous restaurants, performances etc. ",,,,,[],,2016-02-03 14:40:18.908656
design-tech,Design tech,,2012,Suwon-si,Gyeonggi-do,kr,16219,1 - 10,Private,,,,Public safety,"A service app making holiday journey home and weekend picnic pleasant, safe and delicious.                  
A mobile service based on information design (infographic)                                                          
Information on weekend expressway congestion by route, safe road driving (death accidents and season-specific cautions), route-specific regional festivals, culinary maps (route-specific rest place food), and rest places ",,,,,[],,2016-02-03 14:40:23.069486
designzoos,Designzoos,https://play.google.com/store/apps/developer?id=designzoos(%EB%94%94%EC%9E%90%EC%9D%B8%EC%A3%BC%EC%8A%A4)&hl=ko,2013,,,kr,00000,1 - 10,Private,Environment/Weather,"Consulting, User fees for web or mobile access",,Consumer empowerment,,,,,,[],,2016-02-03 14:40:05.750016
devdragon,devdragon,www.devdragon.co.kr,2013,Dong-gu,Daegu,kr,41256,1 - 10,Private,Advertising,"Data/Technology, Media",,"Citizen engagement and participation, Consumer empowerment, Public safety","Devdragon builds a culture of contents for making everyone feel joy in a mobile world. 
We distribute a mobile contents culture, sharing the significant values of change.
",,,,,[],,2016-02-03 14:39:43.761003
devine-security-,Devine security ,,2014,Geumcheon-gu,Seoul,kr,08513,1 - 10,Private,Information security,"Data analysis for clients, Database licensing",,Public safety,,,,,,[],,2016-02-03 14:39:58.318953
dongholife,dongholife,dongholife.co.kr,2002,Gangseo-gu,Busan,kr,46704,1 - 10,Private,Environment/Weather,Product production and sale ,,Environment and climate change,,,,,,[],,2016-02-03 14:40:01.622047
drapt,DrApt,http://www.drapt.com,1999,Seocho-gu,Seoul,kr,06572,,,Data/Technology,Advertising,,Consumer empowerment,"DrApt is characterized by one-stop services of providing an end user with information on housing financing products, including optimum loans recommended by Korea Housing-Finance Corporation, and real-estate transaction information and enabling to apply for loans",,,,,[],,2016-02-03 14:40:35.800493
druginfo,druginfo,www.druginfo.kr,1983,Seocho-gu,Seoul,kr,06621,51-200,Private,Data/Technology,"Advertising, Consulting",,Consumer empowerment,Medical information site,,,,,[],,2016-02-03 14:40:07.780561
easy-check-,easy check ,https://play.google.com/store/apps/details?id=kr.kicc.hotplace,,,,kr,00000,1 - 10,Private,Data/Technology,"Data analysis for clients, User fees for web or mobile access",,"Consumer empowerment, Food access and supply","Hot Place is a location information service to offer information on famous restaurants, dating courses etc using objective big data  ",,,,,[],,2016-02-03 14:40:38.997824
easygo,easygo,http://www.easygo.biz,2012,Guro-gu,Seoul,kr,08270,1 - 10,Private,Advertising,"Data/Technology, Lifestyle/Consumer, Media, Travel",,"Citizen engagement and participation, Travel Market",A service to analyze your propensity through star scores you give to your travel places you have been to and then to recommend new travel places suitable for you   ,,,,,[],,2016-02-03 14:39:37.250870
ecobrain,ecobrain,www.ecobrainkr.com,2009,Geumcheon-gu,Seoul,kr,08512,,Private,Environment/Weather,"Consulting, Data analysis for clients",,Environment and climate change,This is an environment monitoring system offering information on air pollutants expansion prediction that predicts the expansion paths of pollutants from plants and offers company-specific contributions to high density phenomena at specific points.    ,,,,,[],,2016-02-03 14:40:25.492911
ecosave,eco-save,www.eco-save.co.kr,2007,Guro-gu,Seoul,kr,08381,1 - 10,Private,Environment/Weather,Government contract,,"Citizen engagement and participation, Environment and climate change","Eco-save, Inc. is an environment friendly green technology certified enterprise that was founded under the mottoes of the change in attitude towards recycling and the attraction of new values from resources.",,,,,[],,2016-02-03 14:40:14.192525
emotionbooks,e-motionbooks,www.2motionbooks.com,2014,Geumcheon-gu,Seoul,kr,08513,1 - 10,Private,Education,Software licensing,,Educational opportunity,We provide traditional culture education contents series service using open data.,,,,,[],,2016-02-03 14:40:15.146396
enjoyworks,enjoyworks,http://www.enjoyworks.co.kr,2014,Seongbuk-gu,Seoul,kr,02772,11 - 50,Private,Data/Technology,"Application,Web development",,Consumer empowerment,"We are a smart solution development leader that has gained various technologies and knowhow by developing self-services, expanding outsourcing development and joining government-funded projects. We also focus on the development of solutions for supporting web, mobile and other platforms.",,,,,[],,2016-02-03 14:39:43.218585
eplesoft,eplesoft,http://www.eplesoft.com,2012,Gangnam-gu,Seoul,kr,06035,1 - 10,Private,Education,Consulting,,Educational opportunity,Eplesoft maximizes the profit models of clients by smart key technology,,,,,[],,2016-02-03 14:40:09.552953
estorm,estorm,http://estorm.co.kr/,2000,Geumcheon-gu,Seoul,kr,08589,11 - 50,Private,Business/Legal Services,Software licensing,,"Financial access, Management Productivity",Estorm is an idea agency that expresses good ideas and connects more people with each other.,,,,,[],,2016-02-03 14:39:57.165798
ezfarm,ezfarm,http://www.ezfarm.co.kr/,2000,Anyang-si,Gyeonggi-do,kr,13951,51-200,Private,Data/Technology,"Consulting, Data analysis for clients, Database licensing",,Public safety,"Ezfarm, Inc. was established to create new values by applying IT to agriculture and farm villages. Its matrix was Agricultural Information System Chamber (Prof. Choi Young-chan), College of Agriculture and Life Sciences, Seoul National University.",,,,,[],,2016-02-03 14:40:08.777299
f1security,f1security,www.f1security.co.kr,2011,Guro-gu,Seoul,kr,08393,11 - 50,Private,Data/Technology,Consulting,,Public safety,"F1 Security, Inc. is an information protection consulting firm that has excellent information protection consultants with many-year experience. We perform certification consulting such as ISMA, PIMS and ISO27001, information protection management system consulting, weak point diagnosis, mock hacking, information protection solution development and building, etc. ",,,,,[],,2016-02-03 14:39:48.009178
famnet,famnet,http://www.famnet.co.kr,2011,Seocho-gu,Seoul,kr,06693,11 - 50,Private,Food/Agriculture,Consulting,,Food access and supply,"Our goal is to make regions and agriculture develop by offering practical marketing consulting so that regional producers can operate their business independently. To this end, Farment has established an organizational system for business and a network for distribution",,,,,[],,2016-02-03 14:40:05.442440
fesfarm,FesFarm,https://play.google.com/store/apps/details?id=com.hootsw.fesfarm,2015,,,kr,00000,Jan-50,,Lifestyle/Consumer ,Advertising ,,Citizen engagement and participation,"FesFarm, a direct sale service of farm products on the basis of user location",,,,,[],,2016-02-03 14:40:37.212685
first-lady,first lady,,2014,,,kr,00000,1 - 10,Private,Fianace/Investment,,,"Citizen engagement and participation, Consumer empowerment",,,,,,[],,2016-02-03 14:40:20.950140
firstdis-,FirstDIS ,https://play.google.com/store/apps/details?id=kr.co.firstdis.SmartDUR,,Geumcheon-gu,Seoul,kr,08630,,Private,Lifestyle/Consumer,"Lifestyle/Consumer, Scientific Research",,Healthcare access,"Smart DUR enables to easily manage the taking of drugs by the registration of medicine information, prescript details and prescribed drugs. You can ring a member drugstore directly using the member drugstore search menu. 
Smart DUR allows to check whether there is no medicine with drug interaction, whether dosage is appropriate, whether there is no drug duplication, what cautions there are for age groups, pregnant and lactating women. In addition, the app makes it possible to know what food is harmful and what should be avoided in case of taking medicine. ",,,,,[],,2016-02-03 14:40:38.628692
fly-book-,FLY BOOK ,https://play.google.com/store/apps/details?id=com.flybook.flybook&hl=ko,,,,kr,00000,,,Education,Advertising,,Educational opportunity,An app to recommend the books acquaintances read and the books suitable for myself. ,,,,,[],,2016-02-03 14:40:38.078119
flyingmountain,Flyingmountain,http://www.flyingmountain.kr,2014,Dong-gu,Daegu,kr,41260,1 - 10,Private,Geospatial/Mapping,"Advertising, Transaction fee",,Healthcare access,Our company has eight workers with proven expertise and the right background to develop an appealing app for health-conscious smartphone users.,,,,,[],,2016-02-03 14:40:38.253052
forgood,ForGood,,,,,kr,00000,1 - 10,Private,Data/Technology,,,"Environment and climate change, Public safety",,,,,,[],,2016-02-03 14:40:01.796636
funnywork,Funnywork,www.funnywork.co.kr,2001,Mapo-gu,Seoul,kr,04165,11 - 50,Private,Data/Technology,"Consulting, Data analysis for clients, Information system construction",,Citizen engagement and participation,"Established in the name of E-Business Institute in 2001, Funnywork has focused on system development and maintenance in financial and medical fields. We have expanded our business area into SI / SM, solution and E-BIZ for the improvement of customer service, and makes efforts to contribute toward the development of customers' information system.     ",,,,,[],,2016-02-03 14:40:10.188224
gaeasoft,gaeasoft,http://www.gaeasoft.co.kr,1998,Gangnam-gu,Seoul,kr,06221,,Private,Data/Technology,"Consulting, Solutions business ",,Public safety,"We perform mobile platform, solution and mobile services and marketing advertising business ",,,,,[],,2016-02-03 14:40:28.212672
gdplus,Gdplus,,,Jongno-gu,Seoul,kr,03042,1 - 10,Private,Lifestyle/Consumer,,,,,,,,,[],,2016-02-03 14:39:57.523627
geomexsoft,GEOMEXSOFT,http://www.geomex.co.kr,2009,Chuncheon-si,Gangwon-do,kr,24461,,Private,Data/Technology,"Consulting, Solutions business ",,Public safety,GEOMEXSOFT takes the lead in the ICT technology field with self-developed spatial information software technology and provides innovative GIS solutions. ,,,,,[],,2016-02-03 14:40:29.044174
go-network-,go network ,www.acego.net,2001,Yuseong-gu,Daejeon,kr,34159,51 - 200,Private,Consulting,"Data/Technology, Scientific Research",,"Citizen engagement and participation, Educational opportunity, Good governance",,,,,,[],,2016-02-03 14:39:49.697083
gonggam,Gonggam,,,,,kr,00000,1 - 10,Private,Housing/Real Estate,Database licensing,,"Consumer empowerment, Financial access",,,,,,[],,2016-02-03 14:40:00.318797
gongzone,Gongzone,www.gongzone.rekr,2014,Jongno-gu,Seoul,kr,03169,1 - 10,Private,Consulting,"Environment/Weather, Consulting",,Environment and climate change,"* Response to climate change (reduction ? adaptation)
* Environmental IT / GIS-IoT device
* Development of optimum technology and establishment of patent strategy (corporate technology prediction and technical road mapping)
* Corporate R&BD consulting",,,,,[],,2016-02-03 14:39:55.177740
goodmonitoring,goodmonitoring,goodmonitoring.com,2013,Seodaemun-gu,Seoul,kr,03628,1 - 10,Private,Research/Consulting,Data analysis for clients,,Consumer empowerment,"Goodmonitoring, Inc. offers total monitoring services for maximizing corporate values",,,,,[],,2016-02-03 14:39:57.053827
goodoc,goodoc,neo.goodoc.co.kr,2012,Gangnam-gu,Seoul,kr,06026,1 - 10,Private,Advertising,"Data/Technology, Media",,"Consumer empowerment, Healthcare access","The fundamental function of Good Doc is a ""clinic search"" service to provide neighboring clinic locations and treatment information. However, Good Doc enables to search not only simple clinic information, but also theme-specific clinics, such as lay doctor clinic, children clinic, burn clinic, clinic open after 18 o'clock. Also, it provides various services, such as medical staff and treatment information, patients' comments, clinic events and man to man consultations with doctors.",,,,,[],,2016-02-03 14:39:43.427447
gun--bae,Gun & Bae,https://play.google.com/store/apps/details?id=com.yedam.ourtownhospital,2015,,,kr,00000,1 - 10,Private,Lifestyle/Consumer,Advertising,,Consumer empowerment,We provide the information on clinic-specific treatment fees not covered by health insurance on the basis of the data from the Health Insurance Review & Assessment Service (HIRA).   ,,,,,[],,2016-02-03 14:40:39.655496
haezoom,haezoom,http://www.haezoom.com/,2012,Seodaemun-gu,Seoul,kr,03752,1 - 10,Private,Data/Technology,Consulting,,"Citizen engagement and participation, Environment and climate change, Housing access","Haezoom, Inc. creates a continuous social innovation in combination between contents based on spatial information and up-to-date IT.",,,,,[],,2016-02-03 14:40:06.319213
hamconsulting,hamconsulting,http://www.hamcon.co.kr/,2009,Guro-gu,Seoul,kr,08381,11 - 50,Private,Data/Technology,Consulting,,"Food access and supply, Public safety",An enterprise pleased with the construction of sustainable happy farm villages,,,,,[],,2016-02-03 14:40:04.388432
han-com,HAN COM,http://www.hancom.com,1990,Seongnam-si,Gyeonggi-do,kr,13493,,Private,Data/Technology,Software licensing,,Educational opportunity,We develop image editing softwares for upgrading business productivity,,,,,[],,2016-02-03 14:40:32.157407
hanintel,hanintel.,www.hanintel.com,2009,Gangnam-gu,Seoul,kr,06246,11 - 50,Private,Housing/Real Estate,Advertising,,Consumer empowerment,Heart-beating bed during tour  ,,,,,[],,2016-02-03 14:39:56.918363
hanjin-tour,hanjin tour,http://www.kaltour.com,1961,Jung-gu,Seoul,kr,04532,,Private,Business/Legal Services,Advertising,,Travel information ,We have continuously developed impressive and joyful sightseeing goods and attracted overseas tourists    ,,,,,[],,2016-02-03 14:40:32.732731
hanong,hanong,www.hanong.co.kr,2010,Goyang-si,Gyeonggi-do,kr,10540,1 - 10,Private,Food/Agriculture,,,Food access and supply,"Hanong, Inc. has experienced numerous trials and errors, while making efforts to develop new technologies and produce environment-friendly live stocks, but has succeeded in fostering innovative abilities for adjusting to changing environments by applying them to the development of future prediction wisdom. ",,,,,[],,2016-02-03 14:39:55.055936
hanwhalife,hanwhalife,http://www.hanwhalife.com,1946,Yeongdeungpo-gu,Seoul,kr,07345,,Private,Insurance,Membership fees,,Financial access,South Korea's first life insurance company,,,,,[],,2016-02-03 14:40:32.336141
