agency_name,agency_abbrev,agency_type,subagency_name,subagency_abbrev,url,used_by,used_by_category,dataset_name,dataset_url
Department of the Treasury,,Federal,Internal Revenue Service,IRS,http://catalog.data.gov/organization/irs-gov,"Aunt Bertha, Inc.",Governance,Internal Revenue Service (IRS) SOI Tax Stats - Exempt Organizations Business Master File Extract (EO BMF),http://www.irs.gov/uac/SOI-Tax-Stats-Exempt-Organizations-Business-Master-File-Extract-(EO-BMF)
Department of Health and Human Services,HHS,Federal,Food and Drug Administration,FDA,http://www.fda.gov/,Aureus Sciences (*Now part of Elsevier),Scientific Research,FDA approval packages,http://www.accessdata.fda.gov/scripts/cder/drugsatfda
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,AutoGrid Systems,Energy,,
Multiple state data sources,,State,General,,,Avalara,Finance & Investment,,
Multiple city and local data sources,,City/County,General,,,Avalara,Finance & Investment,,
Multiple government open data sources,,Other,General,,,Avvo,Business & Legal Services,,
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,Ayasdi,Data/Technology,The Cancer Genome Atlas,http://cancergenome.nih.gov/
Department of Commerce,USDC,Federal,National Oceanic and Atmospheric Administration,NOAA,http://catalog.data.gov/organization/noaa-gov,Azavea,Geospatial/Mapping,National Oceanic and Atmospheric Administration,http://catalog.data.gov/organization/noaa-gov
Department of Commerce,USDC,Federal,National Weather Service,NWS,http://catalog.data.gov/organization/nws-doc-gov,Azavea,Geospatial/Mapping,National Weather Service,http://catalog.data.gov/organization/nws-doc-gov
Department of Commerce,USDC,Federal,US Census Bureau,Census,http://catalog.data.gov/organization/census-gov,Azavea,Geospatial/Mapping,American Community Survey (ACS),http://www.census.gov/acs/www/data_documentation/summary_file/
Department of Commerce,USDC,Federal,US Census Bureau,Census,http://catalog.data.gov/organization/census-gov,Azavea,Geospatial/Mapping,US Census Bureau,http://catalog.data.gov/organization/census-gov
Department of the Interior,DOI,Federal,U.S. Geological Survey,USGS,http://catalog.data.gov/dataset?q=organization:usgs-gov,Azavea,Geospatial/Mapping,National Elevation Dataset (NED),http://ned.usgs.gov/
Department of the Interior,DOI,Federal,U.S. Geological Survey,USGS,http://catalog.data.gov/dataset?q=organization:usgs-gov,Azavea,Geospatial/Mapping,U.S. Geological Survey,http://catalog.data.gov/organization/usgs-gov
Department of the Interior,DOI,Federal,US Fish and Wildlife Service,FWS,http://catalog.data.gov/organization/fws-gov,Azavea,Geospatial/Mapping,US Fish and Wildlife Service,http://catalog.data.gov/organization/fws-gov
Department of Energy,DOE,Federal,Energy Information Administration,EIA,http://catalog.data.gov/organization/eia-doe-gov,Azavea,Geospatial/Mapping,Energy Information Administration,http://catalog.data.gov/organization/eia-doe-gov
U.S. Environmental Protection Agency,EPA,Federal,General,,http://catalog.data.gov/organization/epa-gov,Azavea,Geospatial/Mapping,U.S. Environmental Protection Agency,http://catalog.data.gov/organization/epa-gov
Federal Election Commission,FED,Federal,General,,http://catalog.data.gov/organization/fec-gov,Azavea,Geospatial/Mapping,Federal Election Commission,http://catalog.data.gov/organization/fec-gov
Department of Agriculture,USDA,Federal,US Forest Service,FS,http://catalog.data.gov/organization/fs-fed-us,Azavea,Geospatial/Mapping,US Forest Service,http://catalog.data.gov/organization/fs-fed-us
Department of Justice,DOJ,Federal,Federal Bureau of Investigation,FBI,http://catalog.data.gov/organization/ic-fbi-gov,Azavea,Geospatial/Mapping,Federal Bureau of Investigation,http://catalog.data.gov/organization/ic-fbi-gov
National Aeronautics and Space Administration,NASA,Federal,General,,http://catalog.data.gov/organization/jpl-nasa-gov,Azavea,Geospatial/Mapping,National Aeronautics and Space Administration,http://catalog.data.gov/organization/nasa-gov
Multiple state data sources,,State,General,,,Azavea,Geospatial/Mapping,Vermont Center for Geographic Information,http://catalog.data.gov/organization/vcgi-org
Raleigh,,City/County,General,,http://www.raleighnc.gov/open/,BaleFire Global,Data/Technology,"The City of Raleigh, North Carolina",
Washington,WA,State,General,,http://data.wa.gov/,BaleFire Global,Data/Technology,The City of Tacoma,
Florida,FL,State,General,,http://www.floridahasarighttoknow.com/,BaleFire Global,Data/Technology,The City of Gainesville,
Multiple federal data sources,,Federal,General,,,BaleFire Global,Data/Technology,,
Multiple state data sources,,State,General,,,BaleFire Global,Data/Technology,,
Multiple city and local data sources,,City/County,General,,,BaleFire Global,Data/Technology,The City of Newark,
Multiple government open data sources,,Other,General,,,BaleFire Global,Data/Technology,The Territory of Puerto Rico,
Multiple government open data sources,,Other,General,,,BaleFire Global,Data/Technology,Ireland's National Open Data Portal (has U.S. Companies),
Multiple government open data sources,,Other,General,,,BaleFire Global,Data/Technology,OpenCorporates International Data (has U.S. Companies),
Department of Agriculture,USDA,Federal,General,,http://catalog.data.gov/organization/ams-usda-gov,Barchart,Data/Technology,,
Department of Energy,DOE,Federal,General,,http://catalog.data.gov/organization/doe-gov,Barchart,Data/Technology,,
Multiple government open data sources,,Other,General,,,Be Informed,Data/Technology,,
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,Bekins,Transportation,,
Multiple government open data sources,,Other,General,,,Berkery Noyes MandAsoft,Finance & Investment,"Data from the Healthcare, Education, Financial and Technology sectors",
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,Berkshire Hathaway,Insurance,,
Department of the Treasury,,Federal,General,,http://catalog.data.gov/organization/treasury-gov,Berkshire Hathaway,Insurance,,
Multiple government open data sources,,Other,General,,,BetterLesson,Education,,
Consumer Financial Protection Bureau,CFPB,Federal,General,,http://catalog.data.gov/organization/cfpb-gov,BillGuard,Finance & Investment,CFPB Credit Card Complaint Database,https://data.consumerfinance.gov/dataset/Credit-card-complaint-responses-by-issue/3jqb-9gp3
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,Bing,Data/Technology,Uses data from HHS and the Institute of Medicine for visualization on Bing maps.,
Multiple government open data sources,,Other,General,,,BizVizz,Governance,,
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,BlackRock,Finance & Investment,,
Multiple government open data sources,,Other,General,,,Bloomberg,Finance & Investment,,
Department of Defense,DOD,Federal,General,,http://catalog.data.gov/organization/usace-army-mil,Booz Allen Hamilton,Research & Consulting,,
Department of Homeland Security,DHS,Federal,General,,http://catalog.data.gov/organization/uscg-mil,Booz Allen Hamilton,Research & Consulting,,
Multiple government open data sources,,Other,General,,,Boston Consulting Group,Research & Consulting,,
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,Boundless,Geospatial/Mapping,,
Department of Labor,DOL,Federal,Bureau of Labor Statistics,BLS,http://catalog.data.gov/organization/bls-gov,Bridgewater,Finance & Investment,Data on inflation,
Federal Reserve Board,FED,Federal,General,,http://catalog.data.gov/organization/frb-gov,Bridgewater,Finance & Investment,Data on currency exchange rates,
Department of Commerce,USDC,Federal,Bureau of Economic Analysis,BEA,http://catalog.data.gov/organization/bea-gov,Bridgewater,Finance & Investment,Data on U.S. gross domestic product,
Department of Labor,DOL,Federal,General,,http://catalog.data.gov/dataset?q=organization:((ecab-dol-gov)+OR+(whd-dol-gov)+OR+(esba-dol-gov)+OR+(ojc-dol-gov)+OR+(eta-dol-gov)+OR+(osha-dol-gov)+OR+(oalj-dol-gov)+OR+(oasp-dol-gov)+OR+(msha-dol-gov)+OR+(bls-gov)+OR+(brb-dol-gov)),Brightscope,Finance & Investment,Retirement Plan Data,http://www.dol.gov/dol/topic/retirement/typesofplans.htm
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,Brightscope,Finance & Investment,Investment Advisor Data,http://www.sec.gov/
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,BuildFax,Business & Legal Services,,
Multiple city and local data sources,,City/County,General,,,BuildFax,Business & Legal Services,,
Multiple city and local data sources,,City/County,General,,,Buildingeye,Housing/Real Estate,,
San Francisco,SF,City/County,General,,http://www.datasf.org/,BuildZoom,Housing/Real Estate,State Contractor License Data,
San Francisco,SF,City/County,General,,http://www.datasf.org/,BuildZoom,Housing/Real Estate,City Permit Data,
Department of Labor,DOL,Federal,General,,http://catalog.data.gov/dataset?q=organization:((ecab-dol-gov)+OR+(whd-dol-gov)+OR+(esba-dol-gov)+OR+(ojc-dol-gov)+OR+(eta-dol-gov)+OR+(osha-dol-gov)+OR+(oalj-dol-gov)+OR+(oasp-dol-gov)+OR+(msha-dol-gov)+OR+(bls-gov)+OR+(brb-dol-gov)),Business and Legal Resources,Business & Legal Services,,
US Equal Employment Opportunity Commission,EEOC,Federal,General,,http://catalog.data.gov/organization/eeoc-gov,Business and Legal Resources,Business & Legal Services,,
Multiple government open data sources,,Other,General,,,Business Monitor International,Business & Legal Services,,
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,"Calcbench, Inc.",Finance & Investment,Securities and Exchange Commission,http://www.sec.gov/
Department of State,DOS,Federal,General,,http://catalog.data.gov/organization/state-gov,Cambridge Information Group,Finance & Investment,Congressional Research Service reports (CRS) and issue briefs,http://fpc.state.gov/c18185.htm
Multiple government open data sources,,Other,General,,,Cambridge Semantics,Data/Technology,,
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,CAN Capital,Finance & Investment,,
Multiple government open data sources,,Other,General,,,Canon,Data/Technology,,
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,Capital Cube,Finance & Investment,,
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,Capital IQ,Finance & Investment,"Data on public companies, public offerings, filings, screening tools, macroeconomic data",
Department of Education,ED / DOED,Federal,General,,http://catalog.data.gov/organization/ed-gov,Cappex,Education,,
California,CA,State,General,,http://data.ca.gov/,Captricity,Data/Technology,California Fair Political Practices Commission (FPPC),http://www.fppc.ca.gov/
Department of the Treasury,,Federal,Internal Revenue Service,IRS,http://catalog.data.gov/organization/irs-gov,Captricity,Data/Technology,IRS Form 990 Return of Organization Exempt From Income Tax,"http://www.irs.gov/uac/Form-990,-Return-of-Organization-Exempt-From-Income-Tax-"
Department of Transportation,DOT,Federal,General,,http://catalog.data.gov/organization/nhtsa-dot-gov,CARFAX,Transportation,,
Multiple state data sources,,State,General,,,CARFAX,Transportation,Data from all 50 state DMVs,
Multiple city and local data sources,,City/County,General,,,CARFAX,Transportation,Data from fire departments and law enforcement agencies,
Multiple government open data sources,,Other,General,,,Caspio,Data/Technology,,
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Castle Biosciences,Scientific Research,Cancer Genome Atlas,http://cancergenome.nih.gov
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,CB Insights,Finance & Investment,,
Multiple government open data sources,,Other,General,,,CB Insights,Finance & Investment,,
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Ceiba Solutions,Scientific Research,National Center for Biotechnology Information,http://www.ncbi.nlm.nih.gov/
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Ceiba Solutions,Scientific Research,The PubChem Project,https://pubchem.ncbi.nlm.nih.gov
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Ceiba Solutions,Scientific Research,PubMed,http://www.ncbi.nlm.nih.gov/pubmed
Federal Election Commission,FED,Federal,General,,http://catalog.data.gov/organization/fec-gov,Center for Responsive Politics,Research & Consulting,,
Department of the Treasury,,Federal,General,,http://catalog.data.gov/organization/treasury-gov,Center for Responsive Politics,Research & Consulting,,
Multiple government open data sources,,Other,General,,,Center for Responsive Politics,Research & Consulting,,
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,Cerner,Healthcare,,
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,Certara,Scientific Research,,
Multiple city and local data sources,,City/County,General,,,CGI,Business & Legal Services,,
Multiple state data sources,,State,General,,,CGI,Business & Legal Services,,
Multiple federal data sources,,Federal,General,,,CGI,Business & Legal Services,,
Multiple government open data sources,,Other,General,,,Charles River Associates,Research & Consulting,,
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,Charles River Associates,Research & Consulting,,
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,Charles River Associates,Research & Consulting,Agency for healthcare research and quality - MEPS,
Department of the Treasury,,Federal,General,,http://catalog.data.gov/organization/treasury-gov,Charles Schwab Corp.,Finance & Investment,,
Securities and Exchange Commission,SEC,Federal,General,,http://catalog.data.gov/organization/sec-gov,Charles Schwab Corp.,Finance & Investment,,
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Chemical Abstracts Service,Scientific Research,GenBank,https://www.ncbi.nlm.nih.gov/genbank/
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Chemical Abstracts Service,Scientific Research,GenBank,https://www.ncbi.nlm.nih.gov/genbank/
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,Chemical Abstracts Service,Scientific Research,,
National Archives and Records Administration,NARA,Federal,General,,http://catalog.data.gov/organization/nara-gov,Chemical Abstracts Service,Scientific Research,,
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,New York State Day Care Centers,http://it.ocfs.ny.gov/ccfs_facilitysearch
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,New York State Day Care Centers,http://it.ocfs.ny.gov/ccfs_facilitysearch
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,New York State Day Care Centers,http://it.ocfs.ny.gov/ccfs_facilitysearch
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,New York State Day Care Centers,http://it.ocfs.ny.gov/ccfs_facilitysearch
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,Yelp API,http://www.yelp.com/developers/documentation/v2/search_api
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,Yelp API,http://www.yelp.com/developers/documentation/v2/search_api
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,Yelp API,http://www.yelp.com/developers/documentation/v2/search_api
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,Open311 Inquiry,https://developer.cityofnewyork.us/api/open311-inquiry
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,Group Child Care Services,https://a816-healthpsi.nyc.gov/ChildCare/ChildCareList.do
Multiple city and local data sources,,City/County,General,,,Child Care Desk,Lifestyle & Consumer,New York Day Care Centers,http://it.ocfs.ny.gov/ccfs_facilitysearch/
Multiple government open data sources,,Other,General,,,Chubb,Insurance,,
Multiple city and local data sources,,City/County,General,,,Citigroup,Finance & Investment,"Uses city and local data for analysis of ""smart cities""",
Philadelphia,PHILA,State,General,,http://www.opendataphilly.org/,CityScan,Geospatial/Mapping,,
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,CityScan,Geospatial/Mapping,,
New York City,NYC,City/County,General,,http://www.nyc.gov/data/,CityScan,Geospatial/Mapping,,
Chicago,CHI,City/County,General,,http://data.cityofchicago.org/,CityScan,Geospatial/Mapping,,
Multiple city and local data sources,,City/County,General,,,CitySourced,Governance,,
U.S. House of Representatives,,Federal Open Data,General,,,Civic Impulse LLC,Governance,Upcoming bills in the House,http://docs.house.gov/
Multiple federal data sources,,Federal,General,,,Civic Impulse LLC,Governance,,
Multiple city and local data sources,,City/County,General,,,Civic Insight,Housing/Real Estate,,
Department of Commerce,USDC,Federal,US Census Bureau,Census,http://catalog.data.gov/organization/census-gov,Civinomics,Governance,United States Census 2010,http://www.census.gov/2010census/
Multiple government open data sources,,Other,General,,,Civis Analytics,Data/Technology,,
Department of Energy,DOE,Federal,Office of Scientific and Technical Information,OSTI,http://catalog.data.gov/organization/osti-gov,Clean Power Finance,Energy,,
Multiple government open data sources,,Other,General,,,ClearStory Data,Data/Technology,,
Department of Commerce,USDC,Federal,National Oceanic and Atmospheric Administration,NOAA,http://catalog.data.gov/organization/noaa-gov,Climate Corporation,Food & Agriculture,Multi-sensor Radar Derived Daily Precipitation,www.ncep.noaa.gov
Department of the Interior,DOI,Federal,U.S. Geological Survey,USGS,http://catalog.data.gov/dataset?q=organization:usgs-gov,Climate Corporation,Food & Agriculture,High Resolution Soil Dataset,http://www.usgs.gov/
Department of Agriculture,USDA,Federal,Natural Resources Conservation Service,NRCS,http://catalog.data.gov/organization/nrcs-usda-gov,Climate Corporation,Food & Agriculture,,
National Aeronautics and Space Administration,NASA,Federal,General,,http://catalog.data.gov/organization/jpl-nasa-gov,Climate Corporation,Food & Agriculture,,
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,CliniCast,Healthcare,SEER,http://seer.cancer.gov/
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,CliniCast,Healthcare,MEPS,http://meps.ahrq.gov/mepsweb/
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,CliniCast,Healthcare,CMS 5% Dataset,http://www.cms.gov/Research-Statistics-Data-and-Systems/Files-for-Order/IdentifiableDataFiles/StandardAnalyticalFiles.html
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,Cloudmade,Geospatial/Mapping,GPS data,
Multiple government open data sources,,Other,General,,,Cloudmade,Geospatial/Mapping,,
Department of Labor,DOL,Federal,General,,http://catalog.data.gov/dataset?q=organization:((ecab-dol-gov)+OR+(whd-dol-gov)+OR+(esba-dol-gov)+OR+(ojc-dol-gov)+OR+(eta-dol-gov)+OR+(osha-dol-gov)+OR+(oalj-dol-gov)+OR+(oasp-dol-gov)+OR+(msha-dol-gov)+OR+(bls-gov)+OR+(brb-dol-gov)),Cloudspyre,Lifestyle & Consumer,,
Chicago,CHI,City/County,General,,http://data.cityofchicago.org/,Code for America,Governance,,
Austin,AUS,City/County,General,,http://data.austintexas.gov/,Code for America,Governance,,
Department of Commerce,USDC,Federal,General,,http://catalog.data.gov/organization/doc-gov,Code-N,Data/Technology,,
Department of Education,ED / DOED,Federal,General,,http://catalog.data.gov/organization/ed-gov,College Abacus,Education,IPEDS,http://nces.ed.gov/ipeds/datacenter/
Department of Education,ED / DOED,Federal,Federal Student Aid,FAFSA,http://catalog.data.gov/organization/fsa-ed-gov,College Abacus,Education,Cohort Default Rates,http://studentaid.ed.gov/about/data-center/student/default
Department of Education,ED / DOED,Federal,Institute of Education Sciences,IES,http://catalog.data.gov/organization/ies-ed-gov,College Board,Education,,
Department of Health and Human Services,HHS,Federal,General,,http://catalog.data.gov/organization/cms-hhs-gov,Compendia Bioscience Life Technologies,Scientific Research,NIH,
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Compendia Bioscience Life Technologies,Scientific Research,NCI Thesaurus,http://ncit.nci.nih.gov/
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Compendia Bioscience Life Technologies,Scientific Research,RefSeq,http://www.ncbi.nlm.nih.gov/refseq/
Department of Health and Human Services,HHS,Federal,National Institutes of Health,NIH,http://catalog.data.gov/organization/nih-hhs-gov,Compendia Bioscience Life Technologies,Scientific Research,TCGA,http://cancergenome.nih.gov/
Multiple government open data sources,,Other,General,,,Compliance and Risks,Business & Legal Services,Tracks regulation and legislative changes to help companies with compliance.,
