company_name_id,company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model,social_impact,description,description_short,source_count,data_types,example_uses,data_impacts,financial_info,last_updated
australian-information-industry-association-,Australian Information Industry Association ,https://www.aiia.com.au/,1985,Canberra ,ACT,au,2612,11-50,Private,interest group,"Consulting, Membership fees","Business to Business, Business to Government","Citizen engagement and participation, Educational opportunity, Good governance, Healthcare access","AIIA seeks
- A future where a thriving, sustainable and influential information industry accelerates the digital economy to enhance Australia’s productivity and sustainability
- To grow the whole ICT industry
- To reduce barriers to ICT business growth

AIIA achieves this by
- Representing members to government and to other industries
- Creating a favourable business environment
- Influencing government policy and decision making
- Shaping the image of the ICT industry to showcase its value and contribution to business, the community and to the economy
- Delivering effective programs and services to members
- Connecting members with new business opportunities and critical information",National ICT interest group ,1-10,"Economics, Education, Energy, Government Operations, Health/Healthcare, International/Global Development","research for submissions to government 
research for policy positions 
research for other publications ","[u'Cost efficiency', u'New/improved research']",n/a,2015-07-15 19:11:20.356406
australian-library-and-information-association,Australian Library and Information Association,https://www.alia.org.au/,1937,Canberra,ACT,au,2600,11-50,Nonprofit,Library and information,Membership fees,Business to Business,"Citizen engagement and participation, Educational opportunity, Good governance, Healthcare access, Freedom of access to information","The objects of the Association are to: promote the free flow of information and ideas in the interest of all Australians and a thriving culture, economy and democracy; promote and improve the services provided by all kinds of library and information agencies; ensure the high standard of personnel engaged in information provision and foster their professional interests and aspirations; represent the interests of members to governments, other organisations and the community; encourage people to contribute to the improvement of library and information services through support and membership of the Association.

",ALIA is the peak body for the library and information sector in Australia.,11-50,"Demographics & Social, Education, Government Operations, Health/Healthcare, Legal, Science and Research","We work with all kinds of libraries, school, public, corporate, law, government, academic, TAFE and the major collecting institutions. All sectors require access to data and we have chosen health libraries as the best example of how libraries use open data.","[u'Cost efficiency', u'New or improved product/service', u'Identify new opportunities', u'New/improved research']","Our main income sources are membership fees, conferences and events and training. Our turnover is around $3 million per annum. We are not for profit and aim to achieve a modest annual surplus.",2015-07-15 19:10:52.638042
australian-medical-association-ama--federal,Australian Medical Association (AMA) - Federal,www.ama.com.au,1962,Canberra,ACT,au,2600,11-50,Nonprofit,Healthcare,Membership fees,Membership organisation representing medical practitioners and medical students,"Good governance, Healthcare access, Public safety","Our mission is Leading Australia’s Doctors – Promoting Australia’s Health.

The Australian Medical Association (AMA) is a membership organisation that exists to promote and protect the professional interests of doctors and the health care needs of patients and communities.

The AMA advocates on behalf of its members at the Federal, and State and Territory levels by: 
•	working with governments to increase and maintain provision of world class medical care to all Australians
•	tracking and reporting government performance on health policy, financing and services
•	challenging governments on policy that potentially harms the interests of patients
•	leading the health policy debate by developing and promoting alternative policies to those government policies 
•	providing informed, expert medical commentary on health issues
•	responds to issues in the health debate through provision of a wide range of expert resources 
•	commissioning and conducting research on health issues 

The AMA improves patient care by supporting the medical profession through a range of essential services including: 
•	protecting the academic, professional, and economic independence of medical practitioners
•	protecting the wellbeing of medical practitioners
•	promoting and advancing ethical behaviour of the medical profession
•	protecting the integrity and independence of the doctor/patient relationship
•	preserving and protecting the political, legal and industrial interests of medical practitioners. 
",The AMA exists to promote and protect the professional interests of doctors and the health care needs of patients and communities.,11-50,"Consumer, Demographics & Social, Economics, Environment, Government Operations, Health/Healthcare, Legal, Science and Research, Public Safety","To support evidence-based medical commentary and policy analysis and debate on health issues to maintain provision of world class medical care to all Australians and identify emerging and long term challenges in health.  
For example through the :
•	AMA Indigenous Health Report Card which uses AIHW (Australian Institute of Health and Welfare) data and reports
•	AMA Public Hospital Report Card which uses Australian Bureau of Statistics, Australian Demographic Statistics, Australian Institute of Health and Welfare Australian Hospital Statistics, Emergency department care statistics and Elective surgery waiting times, Health Expenditure Australia data from the Commonwealth Budget.
",[u'Policy analysis and development'],,2015-07-15 19:07:30.096991
bainbridge-consulting,Bainbridge Consulting,www.bainbridge.com.au,2002,Brisbane,QLD,au,4000,1-10,Private,Research & Consulting,"Consulting, Data analysis for clients, Lead generation to other businesses",Business to Business,"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Financial access, Food access and supply, Good governance, Healthcare access, Housing access, Public safety","We are in a period of significant change unlike any other ever known in human history. Information is being created at an astonishing rate. In the last two years alone, more than 90% of the world's data has been produced. The main driver is transactional data being produced by companies, financial institutions, and online intermediaries. This includes trillions of bytes of information about customers, suppliers, and operations. As researchers, our job is to analyse this information, discover meaningful insights, and present them in a way that is easy to understand.

So our mission is simple - We tell stories with data!",Bainbridge Consulting offers next-generation strategic research services which help you make sense of the information in your business.,101+,"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather",,"[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities', u'New/improved research']",,2015-07-15 19:11:06.734053
balmoral-group--australia,Balmoral Group - Australia,balmoralgroup.com.au,2009,Sydney,NSW,au,2000,1-10,Private,Research & Consulting,"Consulting, Data analysis for clients, Government contract","Business to Business, Business to Government","Citizen engagement and participation, Environment and climate change, Financial access, Good governance","Balmoral Group Australia was established in Sydney in 2009, as an international office of The Balmoral Group™, an engineering and economic consulting firm based in Florida, USA.
Our core services address the nexus of public policy and socioeconomic impacts within infrastructure, water resources and the environment.  As a niche firm, The Balmoral Group has completed precedent setting projects for public and private clients.  
We have a specialty in optimisation and decision making based on economic theory and geospatial modelling applications, to support Policy Analysis.","We provide economic rigor and analysis to natural resource, transport, and local development research.",51-100,"Agriculture & Food, Business, Consumer, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Manufacturing, Science and Research, Tourism, Transportation, Weather","We use ABS Census data for community profiling, GIS layers where open and freely avaiable.  ","[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities', u'New/improved research']",,2015-07-15 19:08:05.107323
bass-coast-landcare-network-inc,Bass Coast Landcare Network Inc,www.basscoastlandcare.org.au,2006,Bass,VIC,au,3991,11-50,Nonprofit,Environment & Weather,"Contributions/Donations, Government contract, Membership fees, Philanthropic grants","Business to Business, Business to Consumer, Business to Government","Citizen engagement and participation, Educational opportunity, Environment and climate change, Good governance","A community engaged in supporting a productive, biodiverse landscape incorporating sustainable agricultural practices and innovative environmental enterprises.

Bass Coast Landcare Network collaborates with community and partners to inspire and enable our groups and people to deliver innovative land and environmental management practices to support healthy and resilient ecosystems and communities.

The Bass Coast Landcare Network (BCLN) was formed in 2003 as an affiliation of the Landcare Groups, enabling them to better position themselves for investment from government, local, state and federal and corporate programs.  Sixty percent of the 1,400 rural properties in the Network area are involved in and supported by the BCLN

","A community engaged in supporting a productive, biodiverse landscape incorporating sustainable agricultural practices and innovative environmental enterprises.",1-10,"Agriculture & Food, Environment, Geospatial/Mapping, Legal, Science and Research","ABARE and local government datasets to understand the community we work with.  This includes road datasets and parcel datasets 
State Government data sets to undertake catchment modelling, environmental project prioritisation through the establishment of an environmental benefits score, project planning
Weather data is used on a regular basis. 
Legal data is obtained through Fair work Australia for advise purposes.","[u'Cost efficiency', u'New or improved product/service', u'Identify new opportunities']",,2015-07-15 19:14:43.873501
bmt-wbm,BMT WBM,http://www.bmtwbm.com.au/,1969,,QLD,au,4000,51-200,Private,Research & Consulting,Consulting,Business to Business,Environment and climate change,"BMT WBM is a leading edge consultancy in mechanical, maritime, water and environmental engineering and hydraulics.In machinery engineering, BMT WBM has built a reputation for solving the more difficult and challenging problems facing designers, manufacturers and operators.  Underpinning this reputation is an innovative, analytical approach, a very comprehensive measurement and analysis capability and a highly qualified, highly experienced team of professionals.

BMT WBM is also one of Australia's largest and most experienced environmental consultants. With over 30 years experience, BMT WBM offers resources and expertise in environmental consulting which is unequalled. The company's team of highly qualified engineers, biologists and scientists have expert knowledge of all aspects of environmental consulting and are committed to using their skills and experience to the benefit of clients, communities and the environment.","BMT WBM is a leading edge consultancy in mechanical, maritime, water and environmental engineering and hydraulics.",1-10,"Environment, Geospatial/Mapping",Map Representation.,[u'New or improved product/service'],,2015-07-15 19:26:14.674245
bulimba-creek-catchment-coordinating-committee-inc,Bulimba Creek Catchment Coordinating Committee Inc,http:\\bulimbacreek.org.au,1997,Brisbane,QLD,au,4152,11-50,Nonprofit,Environment & Weather,"Consulting, Contributions/Donations, Government contract, Philanthropic grants, Ecological Rehabilitation",non government service delivery,"Citizen engagement and participation, Educational opportunity, Environment and climate change","Bulimba Creek Coordinating Catchment Committee Inc. (B4C) is a community not-for-profit Landcare and catchment group in Brisbane, Queensland (Australia), working to protect and enhance the urban environment. B4C works voluntarily in the community to foster care for the environment and embracing sustainable living through active programs.
",B4C's vision is to create a web of green across the catchment. B4C is promoting ecological sustainability and nature conservation.,,,,[],,2015-07-15 19:15:14.595799
cardno,Cardno,www.cardno.com,1945,Brisbane,QLD,au,4006,"1,001-5,000",Public,Research & Consulting,"Consulting, Data analysis for clients, Lead generation to other businesses",Business to Business,"Environment and climate change, Housing access","Cardno is an ASX-200 professional infrastructure and environmental services company, with expertise in the development and improvement of physical and social infrastructure for communities around the world.

The Cardno team is comprised of leading professionals who plan, design, manage and deliver sustainable projects and community programs. Our diverse skills and experience allow us to offer integrated services in ten market sectors to clients both locally and across the globe.

Our vision  is to be a world leader in the provision of professional services to improve the physical and social environment.

Our mission is to provide services to plan, design, manage and deliver sustainable physical, social and economic infrastructure for local and international communities. 
 
We will achieve our vision of being a world leader through:
1. attracting, developing, retaining and rewarding valued people
2. understanding and meeting the expectations of our clients 
3. sustaining the growth of our profile and markets 
4. continually improving the safety and quality of our service delivery 
5. creating shareholder value through high performance.","Cardno is a professional services company working in the infrastructure, environment and international development sectors",51-100,"Demographics & Social, Economics, Education, Energy, Environment, Geospatial/Mapping, Health/Healthcare, International/Global Development, Positioning/GPS, Tourism, Transportation, Weather","Cardno uses open data on many of its projects to provided contextual information for the sites we are working on and to assist us in providing a service to our clients. It can form the basis for analysis and design.
Spatial data is used on almost every project to provide geographic content to the project.","[u'Cost efficiency', u'Identify new opportunities', u'New/improved research']","FY2014 Revenue: A$1,309.60 million 
FY2014 Net Profit After Tax: A$78.1 million
FY2013 Revenue: A$1,200 million 
FY2013 Net Profit After Tax: A$77.6 million

http://www.cardno.com/en-au/InvestorCentre/Investors%20Centre%20Documents/2014%20Annual%20Report%20-%20Financial.pdf
",2015-07-15 19:19:12.760779
cathodic-anodes-australasia,Cathodic Anodes Australasia,www.cathodicanodes.com.au,1984,Kunda Park (Sunshine Coast),QLD,au,4556,11-50,Private,Mining/Manufacturing,"Government contract, Sale of manufactured products",Business to Business,,"The cost of fighting corrosion in Australia has been estimated at a staggering $30 billion per year, which represents 3% of Australia’s GDP. We are proud to be part of the industry that is helping to fight corrosion. We manufacture Galvanic Anodes. High quality (ISO 9001 accredited by LRQA), fast turn around and competitively priced. 

Our anodes protect billions of dollars worth of infrastructure around Australia, the South Pacific and South East Asia including industrial anodes for offshore oil rigs, floating FPSOs, mining, construction and pipelines as well as for the protection of infrastructure such as ports, wharves, sheet pile walls and desalination plants. Our anodes also protect ships, yachts, marine motors, tanks and hot water systems.

Since commencing manufacturing in 1984, we have established ourselves as Australia’s largest galvanic anode manufacturer. Our foundry is designed based on Lean Manufacturing principals, where work flow efficiency gains and minimal down time has lead to significantly shorter lead times and reduced energy use.

An integral part of our commitment to providing high quality anodes is our laboratories which include an Optical Emission Spectrometer for chemical analysis, electrochemical test baths, anode-to-core resistance testing and more. 
","CAA manufacture Galvanic Anodes. Our anodes protect billions of dollars worth of infrastructure around Australia, the South Pacific and South East Asia.",11-50,"Energy, Government Operations, Manufacturing","Almost on a daily basis we research companies and the projects they are working on to try to find contacts for supply of anodes.

We receive notice of projects which require ""Cathodic Protection"" from ICN and Project Connect. 

","[u'New or improved product/service', u'Revenue growth', u'Identify new opportunities']","We are a privately owned family company with an annual turnover of around AU$4,000,000",2015-07-15 19:18:30.586248
code-for-australia,Code for Australia,www.codeforaustralia.org,2015,melbourne,VIC,au,3000,1-10,Nonprofit,innovation,"Contributions/Donations, Government contract, Philanthropic grants",Business to Government,"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Financial access, Food access and supply, Good governance, Healthcare access, Housing access","We believe in a government by the people, for the people, in the 21st century. 

Through our programs we are helping move government towards a platform that allows citizens, public servants and industry to come together and work on issues that affect us all, and build a civic-tech ecosystem in Australia. 

","We bring innovation to government through transparency, collaboration and technology.",11-50,"Demographics & Social, Economics, Education, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather","help release more
make prototypes i.e. reroute.it, and an app under development to find local schools in NSW
","[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities', u'New/improved research']","three programs:
Fellowship: $70K from government match-funded by industry
Incubator: $10K from government match-funded by industry
Civic Lab: voluntary run monthly events in different cities with local sponsorship for beer and pizza.

We've run 6 fellowships since the start of the year. ",2015-07-15 19:26:00.735036
community-insight-australia,Community Insight Australia,www.communityinsightaustralia.org,2014,Sydney,NSW,au,2010,1-10,Social Enterprise,Data/Technology,Subscriptions,Business to Business,Access to community data,"Community Insight Australia is a social enterprise that will translate the UK software tool Community Insight for use with Australian communities.

The tool will collate and map publicly available social data. It presents this data in a way that is easy to generate and analyse, providing user-defined reports, maps and information sets -in just a click of a button! We want to provide not-for-profits, housing providers, private businesses, local and state government agencies with the right information they need to design better targeted social programs.

Our mission is to enable social purpose organisation to access and understand information about the communities they work in.",A community data and GIS mapping tool for social purpose organisations.,1-10,"Demographics & Social, Economics, Education, Geospatial/Mapping, Health/Healthcare, Housing, Transportation",Community Insight Australia uses the social indicators from open data to map this information to communities across Australia. We collate over 50 open datasets to create social profiles of communities through our web-tool. ,"[u'Cost efficiency', u'New or improved product/service', u'Job growth', u'Revenue growth', u'Identify new opportunities']","Total outside investment dollars to date- commitment conditional on gaining 5 customers pre-development: $70,000

Investment conditional on gaining 5 customers pre-development and $50,000 of co-investment from other sources: $50,000 from Social Finance Enterprise Australia (SEFA).
Investment conditional on gaining 5 customers pre-development: $20,000 from 2 co-investors.

Key Partnerships 

Community Insight (UK)- Housing Association Charitable Trust (HACT) and Oxford Consultants of Social Impact (OCSI) 
Community Insight (UK)- Proven track record
-50 subscribers in first 18 months.
-Over 3 renewal periods, Community Insight (UK) has lost 5 subscribers. Three of those re-subscribed after one year without the tool.

Australian Government Big Data Public-Private Partnership- Monthly User Group Sessions ",2015-07-15 19:31:08.503046
