CompanyName,URL,city,STATE,abbrev,companyCategory,descriptionShort
Way Better Patents,http://waybetterpatents.com/,Oakton,Virginia,VA,Business & Legal Services,Way Better Patents is fighting information poverty one app at a time.
"3 Round Stones, Inc.",3RoundStones.com,Washington,District of Columbia,DC,Data/Technology,"Our commercially supported Open Source platform is used by the Fortune 2000 and US Government Agencies to collect, publish and reuse data, both the public Internet and behind institutional firewalls."
Abt Associates,abtassoc.com,Cambridge,Massachusetts,MA,Research & Consulting,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development."
Apextech LLC,apextechllc.com,Arlington,Virginia,VA,Data/Technology,"Apextech LLC, a commercial and government consulting firm is ready to offer clients and partners unique and innovative solutions to heighten business performance."
Appallicious,appallicious.com,San Francisco,California,CA,Data/Technology,The Appallicious Mobile Commerce Platform is the leading technology for government and business to go mobile.
"Aunt Bertha, Inc.",auntbertha.com,Austin,Texas,TX,Governance,Aunt Bertha picks up where Uncle Sam leaves off by making it easy to find and apply for government and charitable social service programs.
Bureau Blank,bureaublank.com,New York,New York, NY,Data/Technology,"Bureau Blank uses strategy, design, and technology to connect companies and organizations to the people who matter most."
Credit Sesame,creditsesame.com,Mountain View,California,CA,Finance & Investment,Credit Sesame is a free online personal finance tool that provides the best way for consumers to save money on loans and credit needs.
DataMarket,datamarket.com,Boston,Massachusetts,MA,Data/Technology,"DataMarket brings complex and diverse data together so you can search, compare, visualize and share it in one place and one format."
Ez-XBRL,ez-xbrl.com,Manassas,Virginia,VA,Finance & Investment,"We use innovative technologies to provide solutions for financial research, analytics and regulatory compliance."
GovTribe,govtribe.com,Arlington,Virginia,VA,Governance,GovTribe makes products to help people who are interested in the world of government contracting.
"Govzilla, Inc.",fdazilla.com,Yorkville,Illinois,IL,Governance,FDAzilla (www.fdazilla.com) provides business intelligence to professionals who work smarter with the FDA.
ideas42,ideas42.org,New York,New York,NY,Research & Consulting,"ideas42 uses expertise in Behavioral Science to invent fresh solutions to the world's toughest social problems, improving millions of lives."
IPHIX,iphix.net,Falls Church,Virginia,VA,Finance & Investment,IT consultancy in the area of  business data standardization.
Junar,junar.com,Los Altos,California,CA,Data/Technology,"Junar powers the Data Economy by delivering the easiest-to-use, cloud-based Open Data platform."
nGAP Incorporated,ngap.com,Bonsall,California,CA,Governance,"nGAP develops Cloud based SaaS solutions with a focus on accountability & transparency in government procurement, including the flagship product, the Open Acquisition System (OAS)."
POPVOX,popvox.com,Redwood City,California,CA,Governance,POPVOX.com is a transformative advocacy platform that meshes legislative data with personal stories and public sentiment.
"Tax Processing Systems, Inc.",taxprocessingsystems.com,Palo Alto,California,CA,Governance,"Tax Processing Systems, Inc. provides fully-automated, end-to-end fraud detection solutions for Federal and State governments."
The DocGraph Journal,http://docgraph.org/,Houston,Texas, TX,Data/Technology,DocGraph is a data set comprised of fifty million connections that shows how healthcare providers team to provide care.
The Schork Report,schorkreport.com,Villanova,Pennsylvania,PA,Energy,"Mr. Schork guides research and analysis activities and oversees the development of proprietary mathematical models designed to identify pricing inefficiencies.  Mr. Schork is also active on a consultative level with subscribers, offering unparalleled direct access and personalized counsel.

Prior to founding The Schork Group, Inc., Mr. Schork was a floor trader (Local) in the New York Mercantile Exchange‚Äôs energy complex and has more than 20 years‚Äô experience in physical commodity and derivatives trading, risk systems modeling, structured commodity finance, trading-room operations and research."
Think Computer Corporation,thinkcomputer.com,Palo Alto,California,CA,Business & Legal Services,"Think Computer Corporation creates web-based software that makes business more efficient, effective, and secure."
Vizzuality,vizzuality.com,New York,New York,NY,Geospatial/Mapping,Vizzuality is a mission driven company that tries to help people communicate data to tell stories that matter.
Webitects,webitects.com,Chicago,Illinois,IL,Data/Technology,"Webitects is a web design, design research, and software development consultancy that has been a major sponsor and participant in Chicago's growing open data movement."
Xcential,xcential.com,Encinitas,California,CA,Governance,Xcential is a leading vendor of legislative products and services to governmental bodies at all levels.
YEI Healthcare,yeihealthcare.com,Portsmouth,Ohio,OH,Healthcare,"YEI Healthcare offers off-the-shelf and custom medical necessity, coding, and compliance products, as well as a wide variety of data files and claim scrubbing services."
(Leg)Cyte,http://www.legcyte.com,Washington,District of Columbia,DC,Governance,LegCyte leverages technology to make legislation easier to understand and generates legislative insight and analytics and makes information sharing simple.
1099.is,http://1099.is,New York,New York,NY,Finance & Investment,"1099.is helps people navigate the confusing tax code that applies to the self-employed, providing advice from experts and people who have been through this before in transparent, clear, simple language."
1800Recycling.com,http://1800recycling.com,Fresno,California,CA,Environment & Weather,This company is a search engine for recycling locations.
Accela,http://www.accela.com,San Ramon,California,CA,Governance,"Accela works to improve citizen engagement by making it easier to do government business, driving civic innovation, engaging citizens to participate in and directly improve their communities, and improving transparency, accuracy and accountability."
Accelrys,http://accelrys.com,San Diego,California,CA,Scientific Research,"By incorporating capabilities in applications for modeling and simulation, enterprise lab management, workflow and automation, and data management and informatics, Accelrys enables scientific innovators to access, organize, analyze and share data with the goal of enhancing innovation, improving productivity and compliance, reducing costs and speeding time from lab to market."
Accenture,http://www.accenture.com/us-en/pages/index.aspx,Phoenix,Arizona,AZ,Data/Technology,"Accenture describes itself as a leader in providing management consulting, technology and outsourcing services."
Civic Impulse LLC,https://www.govtrack.us/civicimpulse,Washington,District of Columbia,DC,Governance,Not answered by company
DataMade,http://datamade.us,Chicago,Illinois,IL,Governance,"Datamade deploys civic apps, builds custom visualizations, and trains people to work with open data."
Estately,http://www.estately.com/,Seattle,Washington,WA,Housing/Real Estate,"We are a real estate brokerage in 30+ states, publishing residential houses for sale on the internet for consumers. "
Accuweather,http://www.accuweather.com,State College,Pennsylvania,PA,Environment & Weather,"AccuWeather descibes its mission as helping to save lives, protect property, and helping people to prosper through weather information."
Adaptive,http://www.adaptive.com,Irvine,California,CA,Business & Legal Services,"Adaptive helps organizations leverage what they have in the most optimal manner to provide a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization."
Adobe,http://www.adobe.com,San Jose,California,CA,Data/Technology,"Adobe provides digital marketing and digital media solutions with tools and services that allow customers to create digital content, deploy it across media and devices, and measure and optimize it over time, with a goal of achieving greater business success. "
Ag Professional,http://www.agprofessional.com,,,,Food & Agriculture,"AgProfessional provides agronomic and business management solutions to retailers/distributors, professional farm managers and crop consultants, to help increase production and profitability in the food, fiber and energy markets. "
Agilix,http://agilix.com,Philadelphia,Pennsylvania,PA,Education,"Agilix was founded in 2001 by the same team of principals who had built first Folio and then Ancestry.com, who then focused on the rapidly changing education market, creating BrainHoney, Buzz, and the Extensible Learning Infrastructure, or xLi."
AHC Media,http://www.ahcmedia.com/public/,Atlanta,Georgia,GA,Healthcare,"For over 30 years, professionals have used AHC Media to help them manage the complex web of regulatory requirements placed upon medical providers, practitioners, and suppliers. "
Aidin,http://www.myaidin.com,New York,New York,NY,Healthcare,Aidin's mission is to bring transparency to the healthcare system and empower patients with data to make more informed decisions on where they receive care.
Allianz,http://www.allianzusa.com/about/?utm_campaign=Brand+%7C+ALLIANZ&utm_source=google&utm_medium=ppc&utm_term=allianz,New York,New York,NY,Finance & Investment,"Allianz provides financial services through its affiliated companies with expertise across a wide range of financial services, from active asset management to insurance for the majority of Hollywood films to strategies to help grow and protect income in retirement."
Allied Van Lines,http://www.allied.com,Westmont,Illinois,IL,Transportation,"As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves."
AllScripts,http://www.allscripts.com,Chicago,Illinois,IL,Healthcare,AllScript's goal is to be the most trusted provider of innovative solutions that empower stakeholders across the healthcare continuum to deliver improved outcomes.
AllState Insurance Group,http://www.allstate.com,Northbrook,Illinois,IL,Insurance,"The Allstate Corporation is the largest publicly held personal, property and casualty insurer in America. "
Alltuition,https://www.alltuition.com,Chicago,,Il,Education,Alltuition enables high school students and their families to manage the financial aid process from start to finish.
Altova,http://www.altova.com,Beverly,Massachusetts,MA,Data/Technology,"Altova is a software company specializing in tools to assist developers with data management, software and application development, and data integration."
Amazon Web Services,http://aws.amazon.com,Seattle,Washington,WA,Data/Technology,Amazon provides cloud computing services through Amazon Web Services to a range of clients.
American Institute of Architects,http://www.aia.org,Washington,District of Columbia,DC,Business & Legal Services,"Based in Washington, D.C., the AIA has been a professional membership association for licensed architects, emerging professionals, and allied partners since 1857."
American International Group,http://www.aig.com/home_3171_411330.html,New York,New York,NY,Insurance,"American International Group, Inc. (AIG) is a leading international insurance organization serving commercial, institutional, and individual customers through an extensive worldwide property-casualty network."
American Red Ball Movers,http://www.redball.com,Indianapolis,Indiana,IN,Transportation,Red Ball is a moving company that serves families and businesses.
Amida Tech,www.amida-tech.net,Washington,District of Columbia,DC,Healthcare,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country."
Amplify,http://www.amplify.com,Brooklyn,New York,NY,Education,Amplify is reimagining the way teachers teach and students learn using the Common Core curriculum.
Apixio,http://www.apixio.com,San Mateo,California,CA,Healthcare,"Apixio's mission is to improve healthcare by providing instant access to relevant clinical information, anywhere."
ApolloBravo Inc,http://www.apollobravo.com,Alexandria,Virginia,VA,Data/Technology,"ApolloBravo manages mobile, social and digital campaigns from ideation to full-scale execution and reporting. "
Arpin Van Lines,http://www.arpin.com,West Warwick,Rhode Island,RI,Transportation,"Arpin Van Lines, headquartered in West Warwick, Rhode Island,provides household goods moving and storage services for corporate, government, military, and residential customers."
Arrive Labs,http://home.downloadarrive.com,San Francisco,California,CA,Transportation,Arrive Labs builds software solutions for urban transit challenges. 
ASC Partners,http://www.asc-partners.com,Boston,Massachusetts,MA,Data/Technology,"ASC helps companies improve their productivity through state-of-the-art technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions. "
Asset4,asset4.com,New York,New York,NY,Finance & Investment,"ASSET4 provides objective, comparable and auditable extra-financial information."
Atlas Van Lines,http://www.atlasvanlines.com,Evansville,Indiana,IN,Transportation,"Headquartered in Evansville, Indiana, Atlas World Group, Inc. comprises a family of companies that deliver transportation and related services globally through a network of quality agents and select service partners."
Audit Analytics,http://www.auditanalytics.com,Sutton,Massachusetts,MA,Finance & Investment,"Audit Analytics is an on-line public company intelligence service available from the Ives Group Inc, an independent research provider focused on the accounting, insurance, regulatory, legal and investment communities. "
Aureus Sciences,http://www.aureus-sciences.com,Philadelphia,Pennsylvania,PA,Scientific Research,Aureus Sciences provides databases and information tools for pharmaceutical and biotech companies.
AutoGrid Systems,http://www.auto-grid.com/#!,Redwood Shores,California,CA,Energy,"AutoGrid's Energy Data Platform is accessed through public or private cloud services, ensuring high security and privacy while reducing operational and capital expenses."
Avalara,http://www.avalara.com,Bainbridge Island,Washington,WA,Finance & Investment,"Avalara produces AvaTax, a cloud-based Software-as-a-Service (SaaS) solution that automatically delivers highly accurate tax decisions in real time. "
Avvo,http://www.avvo.com,Seattle,Washington,WA,Business & Legal Services,"Avvo empowers consumers by rating lawyers, having these lawyers answer their questions (for free), and providing profiles wilth information including experience, background, disciplinary history, and reviews from clients."
Bain,http://www.bain.com,Boston,Massachusetts,MA,Research & Consulting,"Bain & Company is a management consulting firm that works with top executives to help them make better decisions, convert those decisions to actions, and deliver sustainable success."
Be Informed,http://www.beinformed.com/BeInformed/website/en?init=true,New York,New York,NY,Data/Technology,"Be Informed’s semantic technology and solutions makes business applications completely model-driven, allowing organizations to instantly execute on new strategies and regulations. "
Bear-Eco Technologies (App: Gender Gap App),http://www.beareco.com,,,,Finance & Investment,"Bear-Eco is a boutique custom software development company and creator of Gender Gap, an award-winning app developed with U.S. Department of Labor data on gender inequality in compensation."
Bekins,http://www.bekins.com,Indianapolis,Indiana,IN,Transportation,"Headquartered in Indianapolis, Ind., Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services. "
Berkeley Earth Institute,http://www.earthisland.org,Berkeley,California,CA,Environment & Weather,"Earth Island Institute is a non-profit, public interest, membership organization that supports people who are creating solutions to protect our shared planet."
Berkery Noyes,http://www.berkerynoyes.com,New York,New York,NY,Finance & Investment,"Berkery Noyes is an independent investment bank providing mergers and acquisitions (M&A) advisory and financial consulting services to middle-market leaders in the global information, software, marketing services, and technology industries."
Berkshire Hathaway ,http://www.berkshirehathaway.com,Omaha,Nebraska,NE,Insurance,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States, that oversees and manages a number of subsidiary companies, including the insurance company GEICO, which it wholly owns."
BetterLesson,http://betterlesson.com,Cambridge,Massachusetts,MA,Education,"BetterLesson was founded by a group of teachers from Atlanta and Boston public schools to connect educators and help them create, organize, and share their curricula."
Bing,http://www.bing.com,Redmond,Washington,WA,Data/Technology,"Bing is a decision (search) engine from Microsoft that combines technology from the Farecast and Powerset acquisitions, as well as new algorithms and a more colorful page design, to attempt to understand the context behind the search in order to give users better results."
BizVizz,http://bizvizz.com,Milwaukee,Wisconsin,WI,Governance,"BizVizz ""puts the metrics of corporate citizenship in the hands of ordinary people"" by allowing them to see shareable tax data, jobs data, and other financial information hidden in regulatory documents."
Black Rock,http://www.blackrock.com,Atlanta,Georgia,GA,Finance & Investment,"As the world’s largest asset manager, Black Rock works with individuals and institutions from all over the world."
Bloomberg,http://www.bloomberg.com,New York,New York,NY,Finance & Investment,"Bloomberg, the global business and financial information and news provider, delivers data, news and analytics through the Bloomberg Professional service, which provides real time financial information to more than 315,000 subscribers globally. "
Booz Allen Hamilton,http://www.boozallen.com,McLean,Virginia,VA,Research & Consulting,"Booz Allen Hamilton describes itself as a leading provider of management consulting, technology, and engineering services that works in the interest of clients, employees, communities, and investors."
Boston Consulting Group,http://www.bcg.com,Boston,Massachusetts,MA,Research & Consulting,"The Boston Consulting Group is a global management consulting firm and advisor on business strategy; it partners with clients from the private, public, and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises."
Bridgewater,http://www.bwater.com,Westport,Connecticut,CT,Finance & Investment,"Bridgewater Associates, LP is a global investment management firm, and advises certain private investment funds and institutional clients."
Buildingeye,http://www.buildingeye.com,Palo Alto,California,CA,Housing/Real Estate,Buildingeye takes local government data on building permits in different locations and visualizes this information on its map.
Business and Legal Resources,http://www.blr.com,Brentwood,Tennessee,TN,Business & Legal Services,BLR®—Business & Legal Resources helps U.S. businesses simplify compliance with state and federal legal requirements.
CakeHealth,https://cakehealth.com,San Francisco,California,CA,Healthcare,CakeHealth brings consumers'  health care plan information together so they can easily track their health spending — without the paperwork.
Calico,http://googlepress.blogspot.com/2013/09/calico-announcement.html,Mountain View,California,CA,Healthcare,"Calico is being launched by Google to focus on health and well-being, in particular the challenge of aging and associated diseases"
Cambridge Information Group,http://www.cig.com,New York,New York,NY,Finance & Investment,"Cambridge Information Group (CIG) is a family owned management and investment firm, primarily focused on education, research and information services companies."
Cambridge Semantics,http://www.cambridgesemantics.com/home,Boston,Massachusetts,MA,Data/Technology,"Cambridge Semantics provides the Anzo software suite, an open platform for building interactive Unified Information Access (UIA) solutions and to rapidly discover, understand, combine, and act on data from diverse sources both from within and across organizational boundaries."
Canon,http://www.canon.com,Melville,New York,NY,Data/Technology,"Canon pursues the development of innovative technologies, including technology used for managing open data."
Capital Access Network,http://www.cancapital.com/,New York,New York,NY,,Capital Access Network (CAN) has served small businesses for more than a decade by developing and delivering working capital solutions.
Capital Cube,http://www.capitalcube.com,Williamsville,New York,NY,Finance & Investment,"Developed over three years by finance and technology professionals, Capital Cube's platform converts data assets into narrative forms."
Capital IQ,https://www.capitaliq.com/home.aspx,New York,New York,NY,Finance & Investment,"S&P Capital IQ combines offerings previously provided by Capital IQ, elements of S&P including Global Credit Portal and MarketScope Advisor, enterprise solutions such as S&P Securities Evaluations and Compustat, and research offerings including Leveraged Commentary & Data, Global Markets Intelligence, and company and fund research."
CareerThoughts.com (App: Equal Pay for Women),http://careerthoughts.com/equality,Midlothian,Virginia,VA,Business & Legal Services,Careerthoughts is a job search/career site with analysis of data on gender equality in compensation. 
CARFAX,http://www.carfax.com/entry.cfx,Centreville,Virginia,VA,Transportation,"CARFAX, which was started to provide vehicle history information on used cars, now claims the most comprehensive vehicle history database available in North America. "
Castle Biosciences,http://www.castlebiosciences.com,Friendswood,Texas,TX,Scientific Research,"Castle Biosciences works with leading cancer institutions to in-license proprietary technologies and complete development and validation, to ultimately make these proven tests available to all individuals afflicted with a rare cancer."
Castlight Health,http://www.castlighthealth.com,San Francisco,California,CA,Healthcare,"Castlight Health helps both consumers and employers by enabling consumers to make smart health care purchase decisions, which will drive quality up and costs down."
Ceiba Solutions,http://www.ceibasolutions.com,Boston,Massachusetts,MA,Scientific Research,Ceiba is a global products and service company dedicated to unleashing the value of life science and healthcare data while reducing the cost to manage it.
Center for Data Innovation,http://www.datainnovation.org,San Francisco,California,CA,Data/Technology,"The Center for Data Innovation at the Information Technology and Innovation Foundation conducts high-quality, independent research and educational activities on the impact of the increased use of information on the economy and society. "
Cerner,http://www.cerner.com,North Kansas City,Missouri,MO,Healthcare,Cerner's mission is to contribute to the systemic improvement of health care delivery and the health of communities.
Certara,http://www.certara.com,St Louis,Missouri,MO,Scientific Research,"Certara provides expertise spanning drug discovery and development – with modeling, analysis, and simulation methods that include molecular modeling, prediction of drug-drug interactions, and clinical trial simulation. "
CGI,http://www.cgi.com/en,New York,New York,NY,Data/Technology,CGI provides end-to-end IT and business process services that facilitate the ongoing evolution of its clients' businesses. 
Charles Schwab Corp.,https://www.schwab.com,San Francisco,California,CA,Finance & Investment,The Charles Schwab Corporation describes itself as a leading investment services firm that innovates and advocates for individual investors and the financial professionals who serve them.
Chemical Abstracts Service,https://www.cas.org,Columbus,Ohio,OH,Scientific Research,"Chemical Abstracts Service (www.cas.org), a division of the American Chemical Society, exists to find, collect and organize all publicly disclosed chemical substance information."
Child Care Desk,http://childcaredesk.com,New York,New York,NY,Lifestyle & Consumer,"ChildCareDesk is a cloud based Software Platform that aims to help parents find quality child care near them, help child care centers build an online presence to reach more parents, and help government, non-profit organizations and investors with data they can use to invest in child care and make more options available for parents."
Citigroup,http://www.citigroup.com/citi/,New York,New York,NY,Finance & Investment,"Citi provides consumers, corporations, governments and institutions with a broad range of financial services and products. "
CitySourced,http://www.citysourced.com/,Log Angeles,California,CA,,"CitySourced is a real time mobile civic engagement platform that provides a simple and intuitive platform empowering residents to identify civic issues (public safety, quality of life, environmental issues, etc.) and report them to city hall for quick resolution."
Civitas Learning,http://www.civitaslearning.com,Austin,Texas,TX,Education,Civitas Learning provides resources to help college students learn well and graduate on time.
Clean Power Finance,http://www.cleanpowerfinance.com,San Francisco,California,CA,Energy,This business-to-business marketplace connects the solar industry with capital markets and provides residential solar professionals with access to solar financing and software that empowers them to close more deals faster.
Cleantech Group,http://www.cleantech.com,New York,New York,NY,Environment & Weather,"Cleantech Group is a provider of market intelligence and insights on companies in 18 sectors, including energy efficiency, energy storage, smart grid, biofuels & biochemicals, solar, transportation, and water & wastewater. "
Cloudmade,http://cloudmade.com,Menlo Park,California,CA,Geospatial/Mapping,"CloudMade's platform makes geospatial data from hundreds of different sources accessible for different devices and automotive manufacturers, developers and enterprises."
CloudSpokes,http://www.cloudspokes.com,San Francisco,California,CA,Data/Technology,CloudSpokes is a new crowdsourcing development community and marketplace that matches companies who need cloud development work with a worldwide community of cloud experts. 
CNA Insurance Companies,http://www.cna.com/portal/site/cna,Chicago,Illinois,IL,Insurance,"CNA provides insurance solutions by industry, including the financial sector, education, real estate, and manufacturing."
