company_name_id,company_name,url,city,state,zip_code,ceo_first_name,ceo_last_name,year_founded,full_time_employees,company_type,company_category,revenue_source,description,description_short,financial_info,source_count,data_comments,dataset_wishlist,confidentiality,ts,survey_submitted,vetted,locked,vettedByCompany,display,notes
Adaptive,Adaptive,http://www.adaptive.com,Irvine,CA,92618,,,0,0,Private,Business & Legal Services,Not reported by company,"Information, though routinely misaligned, remains the lifeblood of every organization.  It is essential today to know how critical data moves across an enterprise.  Adaptive offers standards-based solutions that help organizations better align their valuable information by supporting specific management challenges including Data Governance, Data Quality, Metadata Management, Enterprise Architecture Management and IT Portfolio Management.","Adaptive helps organizations leverage what they have by providing a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization.",,NA,,,,2013-12-15 15:28:20.842000,False,False,False,False,True,
Adobe-Digital-Government,Adobe Digital Government,http://www.adobe.com,San Jose,CA,95510,,,0,0,,Data/Technology,Not reported by company,"Adobe Digital Government is part of Adobe Systems, a global digital marketing and digital media solutions company. Adobe's tools and services allow customers to create digital content, deploy it across media and devices, measure and optimize it over time. 

Adobe Digital Government delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions. Adobe Digital Government provides solutions for content creation and management, more secure business workflows, easy-to-develop forms, robust analytics, or intuitive collaboration and eLearning.","Adobe delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions.",,100+,,,,2013-12-15 15:28:20.866000,False,False,False,False,True,
Ag-Professional,Ag Professional,http://www.agprofessional.com,,,00000,,,0,0,,Food & Agriculture,,"AgProfessional provides agronomic and business management solutions to retailers/distributors, professional farm managers and crop consultants, to help increase production and profitability in the food, fiber and energy markets.","AgProfessional provides agronomic and business management solutions to retailers/distributors, professional farm managers and crop consultants.",,,,,,2013-12-15 15:28:20.889000,False,False,False,False,False,
Agilix,Agilix,http://agilix.com,Philadelphia,PA,19106,,,0,0,,Education,,"AgProfessional provides agronomic and business management solutions to retailers/distributors, professional farm managers and crop consultants, to help increase production and profitability in the food, fiber and energy markets.","Agilix focuses on the rapidly changing education market, creating BrainHoney, Buzz, and the Extensible Learning Infrastructure, or xLi.",,,,,,2013-12-15 15:28:20.912000,False,False,False,False,False,
Ahc-Media,AHC Media,http://www.ahcmedia.com/public/,Atlanta,GA,30305,,,0,0,,Healthcare,,,"Professionals use AHC Media to help them manage the complex web of regulatory requirements placed upon medical providers, practitioners, and suppliers.",,,,,,2013-12-15 15:28:20.935000,False,False,False,False,False,
Aidin,Aidin,http://www.myaidin.com,New York,NY,10001,,,0,0,Private,Healthcare,Not reported by company,"Aidin was created specifically for discharge planning professionals. Aidin integrates into the discharge planning workflow to free social workers from administrative tasks and re-center their time around patients. By automatically generating listings of available providers, Aidin eliminates phone calls and faxes and empowers patients with quality of care ratings and reviews to make decision-making quick, easy, and informed. Aidin works with hospitals to track patient experiences and outcomes to help case managers gain insight into which post-acute providers best serve specific health conditions.",Aidin's mission is to bring transparency to the healthcare system and empower patients with data to make more informed decisions on where they receive care.,,NA,,,,2013-12-15 15:28:20.957000,False,False,False,False,True,
Allianz,Allianz,http://www.allianzusa.com,New York,NY,10019,,,0,0,,Finance & Investment,Not reported by company,,"Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",,NA,,,,2013-12-15 15:28:20.981000,False,False,False,False,True,
Allied-Van-Lines,Allied Van Lines,http://www.allied.com,Westmont,IL,60559,,,0,0,Private,Transportation,Not reported by company,"Allied Van Lines is a global relocation company, serving individuals and corporations all over the world for their transportation and storage needs.","As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves.",,NA,,,,2013-12-15 15:28:21.005000,False,False,False,False,True,
Allscripts,AllScripts,http://www.allscripts.com,Chicago,IL,60654,,,0,0,,Healthcare,,,AllScript's goal is to be the most trusted provider of innovative solutions that empower stakeholders across the healthcare continuum to deliver improved outcomes.,,,,,,2013-12-15 15:28:21.027000,False,False,False,False,False,
Allstate-Insurance-Group,AllState Insurance Group,http://www.allstate.com,Northbrook,IL,60062,,,0,0,Public,Insurance,Not reported by company,"The Allstate Corporation is a holding company for Allstate Insurance Company. The Company’s business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and their affiliates. It is engaged, principally in the United States, in the property-liability insurance, life insurance, retirement and investment product business. 

Allstate's primary business is the sale of private passenger auto and homeowners insurance. The Company also sells several other personal property and casualty insurance products, select commercial property and casualty coverages, life insurance, annuities, voluntary accident and health insurance and funding agreements. Allstate primarily distributes its products through exclusive agencies, financial specialists. Allstate has four business segments: Allstate Protection, Allstate Financial, Discontinued Lines and Coverages and Corporate and Other. The Company is a personal lines insurer in the United States.","The Allstate Corporation is the largest publicly held personal, property and casualty insurer in America.",,NA,,,,2013-12-15 15:28:21.051000,False,False,False,False,True,
Alltuition,Alltuition,https://www.alltuition.com,Chicago,IL,60611,,,0,10,Private,Education,Not reported by company,"Alltuition.com makes sure you don’t miss out on financial aid. Based on the colleges where you're applying for aid, we instantly match you to your opportunities and help you maximize your chances for aid.",Alltuition enables high school students and their families to manage the financial aid process from start to finish.,,NA,,,,2013-12-15 15:28:21.074000,False,False,False,False,True,
Altova,Altova,http://www.altova.com,Beverly,MA,01915,,,0,0,,Data/Technology,Not reported by company,"At Altova, our mission is to deliver standards-based, platform-independent software development tools that empower our customers to create, access, edit and transform information resources. We are dedicated to ensuring that our products are powerful, affordable, and easy-to-use by our customers in real-world scenarios. The creator of XMLSpy® and other award-winning XML, SQL, and UML tools, Altova is a key player in the software tools industry and leader in XML solution development tools.","Altova is a software company specializing in tools to assist developers with data management, software and application development, and data integration.",,NA,,,,2013-12-15 15:28:21.098000,False,False,False,False,True,
Amazon-Web-Services,Amazon Web Services,http://aws.amazon.com,Seattle,WA,98109,,,2007,0,Public,Data/Technology,Not reported by company,"<p>Amazon Web Services offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Amazon Web Services’ (AWS) Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>",Amazon provides cloud computing services through Amazon Web Services to a range of clients.,,100+,,,,2013-12-15 15:28:21.121000,True,True,False,False,True,
American-Institute-Of-Architects,American Institute of Architects,http://www.aia.org,Washington,DC,20006,,,0,0,,Business & Legal Services,,,"Based in Washington, D.C., the AIA has been a professional membership association for licensed architects, emerging professionals, and allied partners since 1857.",,,,,,2013-12-15 15:28:21.145000,False,False,False,False,False,
American-International-Group,American International Group,http://www.aig.com/home_3171_411330.html,New York,NY,10038,,,0,0,,Insurance,,,"American International Group, Inc. (AIG) is a leading international insurance organization serving commercial, institutional, and individual customers through an extensive worldwide property-casualty network.",,,,,,2013-12-15 15:28:21.168000,False,False,False,False,False,
American-Red-Ball-Movers,American Red Ball Movers,http://www.redball.com,Indianapolis,IN,46239,,,0,0,,Transportation,Not reported by company,"American Red Ball Movers, established in 1919, is a major long distance moving company in the US.",Red Ball is a long distance and corporate relocation moving company that serves families and businesses.,,NA,,,,2013-12-15 15:28:21.191000,False,False,False,False,True,
Amida-Technology-Solutions,Amida Technology Solutions,http://amida-tech.com/index.html,Washington,DC,20036,Peter,Levin,2013,5,Private,Healthcare,Not reported by company,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR). The Amida Personal Health Information Exchange solution allows enterprises to offer capabilities that place the patient at the center of their health data. It enables two-way communication between patients and primary care physicians, pharmacies, labs, and specialty care providers. This means that patients, for the first time, will have a coherent view of all their health information.","Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.",,NA,,,,2014-01-24 14:36:03.326000,True,True,False,True,True,
Amplify,Amplify,http://www.amplify.com,Brooklyn,NY,11201,,,0,0,Private,Education,,"Amplify is reimagining the way teachers teach and students learn. We enable teachers to manage whole classrooms and, at the same time, empower them to offer more personalized instruction, so that students become more active, engaged learners.",Amplify is reimagining the way teachers teach and students learn using the Common Core curriculum.,,,,,,2013-12-15 15:28:21.236000,False,False,False,False,False,
Analytica,Analytica,http://www.analytica.net/,Washington DC,DC,20005,,,2007,0,Private,Data/Technology,"Data Management and Analytic Services, Software Licensing, Information Brokering","<p>Analytica is a leading-edge consulting and IT firm that provides solutions to managing, analyzing, leveraging and protecting information.  The company supports prominent US Public Sector (Federal, State, and Local agencies) and commercial organizations with innovative, value driven solutions supporting national security, law enforcement, health care, and financial services.</p>

<p>Analytica is an SBA certified HUBZone, small business and it has been recognized each of the past three years as a fast growing and “Top 50” small businesses.</p>","Analytica assists public sector organizations to identify, leverage, analyze and manage information.","Analytica is a self-funded, private company.  Driven by customer demand in assisting with managing, leveraging, and analyzing public sector information, the company has experienced exponential growth over the past five years and generated over $15.0 MM in revenue in 2013.",1-10,"For the crime data, addition reporting data and additional correlated data would be useful.",,,2014-03-19 17:48:24.124950,True,True,False,True,True,
Apextech-Llc,Apextech LLC,apextechllc.com,Arlington,VA,22201,Frederic,Persi,2003,17,Private,Data/Technology,Data Management and Analytic Services,"Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward-thinking, flexible and scalable.","Apextech LLC, a commercial and government consulting firm, offers clients and partners innovative solutions to heighten business performance.","We have developed solutions in the international development space for NGOs and are working towards integrating those systems with governmental development data from USAID, the World Bank, the EU and the CIDA (Canadian International Development Agency).",NA,,"USAID impact data:  data that shows objectives that are being achieved.
USAID  grant data:  financial expenditures reported by grantees and awards.
Same data from EU, World Bank and EU.",,2013-12-15 15:27:46.668000,True,True,True,True,True,
Apixio,Apixio,http://www.apixio.com,San Mateo,CA,94402,,,0,0,Private,Healthcare,,"Our value proposition reaches far beyond our partner companies, delivering direct benefits to healthcare providers, as well as patients. Apixio is setting out to develop a connected world where medical information becomes liquid thereby enabling a whole host of existing and new technology providers to move, transact, search, analyze and display medical information.","Apixio's mission is to improve healthcare by providing instant access to relevant clinical information, anywhere.",,,,,,2013-12-15 15:28:21.259000,False,False,False,False,False,
Apollobravo-Inc,ApolloBravo Inc,http://www.apollobravo.com,Alexandria,VA,22314,,,0,0,,Data/Technology,,,"ApolloBravo manages mobile, social and digital campaigns from ideation to full-scale execution and reporting.",,,,,,2013-12-15 15:28:21.282000,False,False,False,False,False,
Appallicious,Appallicious,appallicious.com,San Francisco,CA,94104,Yo,Yoshida,2010,13,Private,Data/Technology,Software Licensing,"Appallicious (http://www.appallicious.com) is an open data visualization company that creates open data products for government agencies using our proprietary platform. Current products include: Disaster Assessment and Assistance Dashboard (DAAD), Code Enforcement Dashboard (CEAD), Apartment Facts, SF Rec & Park App, Neighborhood Score. The civic start-up has also developed the SkippittTM platform, which enables governments and businesses to generate revenue by leveraging your existing customer base and extending it via mobile. Appallicious is based in San Francisco, CA and is a Silicon Valley Innovation Summit A0250 to Watch Winner.",The Appallicious Mobile Commerce Platform is a leading technology for government and business to go mobile.,"<p>In March 2012, a neighbor of Appallicious co-founder, Yo Yoshida, died tragically after falling through a dilapidated staircase in Yo's apartment. After her death, Yo was inspired to create an application that would provide San Francisco residents with more information about their neighborhoods and the places they live. Neighborhood Score lets you see a score for any block in San Francisco.</p>

<p>Soon Appallicious will be launching Apartment Facts. This service will be a powerful tool for tenants across the country. Apartment Facts will create transparency when it comes to housing safety, accountability, and stopping tragedies like that of Yo's neighbor.</p>",,,"We would like to see the open data legislation that has gone into effect here in San Francisco, replicated all over the country. If every city in the country revised their open data policy, we could create Rec and Park and Neighborhood Score apps everywhere!",,2013-12-15 15:27:46.806000,True,True,True,True,True,
Archimedes-Inc,Archimedes Inc.,http://archimedesmodel.com/,San Francisco,CA,94105,John,Beasley,2006,50,Private,Healthcare,Software Licensing,"Archimedes is a healthcare modelling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision-making, as well as populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes creates models using evidence from clinical trials, epidemiological studies, and other sources to show healthcare decision makers how different options affect outcomes and costs.",,NA,,,,2013-12-15 15:27:39.321000,True,True,True,True,True,
Areavibes-Inc,AreaVibes Inc.,http://www.areavibes.com/,,NY,,,,2009,10,Private,Data/Technology,not reported by company,"The AreaVibe algorithm assigns this total score (“AreaVibe” in our speak) based on the most important metrics for each city, including: cost of living, crime rates, education, employment, health & safety, housing, weather, transportation, local businesses and even user reviews. The higher the score, the better the city (in our opinion).",Working to provide you with everything you need to know about every city in the United States.,,NA,,,,2014-04-05 23:19:29.761543,False,False,False,True,True,
Arpin-Van-Lines,Arpin Van Lines,http://www.arpin.com,West Warwick,RI,02893,,,0,0,Private,Transportation,Not reported by company,"Arpin Van Lines is a privately owned moving services company, a subsidiary of Arpin Group,  that specializes in U.S. domestic and worldwide moving and storage services, global information storage management services and environmental stewardship through its various subsidiaries.","Arpin Van Lines, headquartered in West Warwick, Rhode Island, provides household goods moving and storage services for corporate, government, military, and residential customers.",,NA,,,,2013-12-15 15:28:21.306000,False,False,False,False,True,
Arrive-Labs,Arrive Labs,http://home.downloadarrive.com,San Francisco,CA,0,,,0,0,,Transportation,Not reported by company,"Arrive Labs builds software solutions for urban transit solutions, that currently has created two apps - Arrive and TransitHero. 

Arrive is a multi-modal urban transit app for San Francisco providing information across all available modalities like train, bus, taxis, SideCar, ZipCar and our friends, Scoot Networks.

TransitHero, an app for the San Francisco Bay Area, delivers live real-time transit information for BART, MUNI, and AC Transit.  It combines live, crowd sourced reports from our community of users, as well as our proprietary data set to give you intelligence on public transit in the city. You can become a TransitHero by reporting anything from a delay to a crowded train, rescuing transit riders from bad transit experiences before they get stuck.",Arrive Labs builds software solutions for urban transit challenges.,,NA,,,,2013-12-15 15:28:21.329000,False,False,False,False,True,
Asc-Partners,ASC Partners,http://www.asc-partners.com,Boston,MA,,,,0,0,,Data/Technology,Not reported by company,"ASC Partners offers business financial applications specific to small-to-medium size organizations in various industries. We provide extensive experience in technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions. We design a step-by-step, cost-effective plans for customers to achieve optimum ongoing productivity.","ASC helps companies improve their productivity through state-of-the-art technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions.",,NA,,,,2013-12-15 15:28:21.356000,False,False,False,False,True,
Asset4,Asset4,asset4.com,New York,NY,10036,,,0,0,Private,Finance & Investment,Not reported by company,"ASSET4 AG provides investment research information on economic, environmental, social, and governance (ESG) aspects of corporate performance. The company provides a database containing ESG information of publicly listed companies, countries, local authorities, state-owned companies, and supranational entities in a Web based architecture. It also provides equity-focused solutions and fixed income solutions for professional investors and corporate executives; extra-financial information for fixed income investments; and carbon data and estimates.","ASSET4 provides objective, comparable and auditable extra-financial information.",,100+,,,,2013-12-15 15:28:21.380000,False,False,False,False,True,
Atlas-Van-Lines,Atlas Van Lines,http://www.atlasvanlines.com,Evansville,IN,47712,Glen,Dunkerson,1948,500,Private,Transportation,Customers,"Atlas Van Lines is a subsidiary of Atlas World Group, a family of companies headquartered in Evansville, Indiana. Atlas serves markets for global relocation, benefits, recruiting, logistics and travel, through a network of more than 500 Atlas Agents in the United States and Canada, and service partners operating in 140 countries around the world. A commitment to integrity, quality and solutions still guides the company, just as Atlas Agent-owners still set the policies that further service excellence.","Atlas World Group, Inc. is a family of companies delivering transportation and related services globally through a network of quality agents and select service partners.","Atlas Van Lines, the flagship of Atlas World Group, is the second-largest carrier of household goods in the U.S. More than 500 Atlas Agents own and operate the equipment and warehouses required for providing the company's services.",1-10,"No datasets available from this agency, but if available, this would be the only one of relevance to Atlas Van Lines",Don't know,,2013-12-15 15:28:21.403000,True,True,False,True,True,
Aunt-Bertha-Inc,"Aunt Bertha, Inc.",auntbertha.com,Austin,TX,78731,Erine,Gray,2010,19,Private,Governance,"Software Licensing, Subscriptions","At Aunt Bertha, Inc., we collect all federal, state, county, city, neighborhood, and charity program information and put it in one place. If it's based on need, then we collect it. Using information we learn about programs, and what we learn from the user, we intelligently match people with services that are designed specifically for their situation.",Aunt Bertha picks up where Uncle Sam leaves off by making it easy to find and apply for government and charitable social service programs.,,10-50,,"A similar resource of Benefits.gov from the state level perspective, including centralized information on city/county programs.",,2013-12-15 15:27:47.012000,True,True,True,True,True,
Aureus-Sciences-Now-Part-Of-Elsevier,Aureus Sciences (*Now part of Elsevier),http://www.aureus-sciences.com,Philadelphia,PA,19103,,,2000,0,Private,Scientific Research,Not reported by company,"Aureus Science provides Knowledge Management Systems that are uniquely designed for drug discovery research. Aureus delivers life sciences information solutions that integrate structured knowledge databases with powerful search and insight applications to turn Turn Data into Discovery. 

Aureus Science was acquired by Elsevier in January 2013. Elsevier is a provider of information solutions that enhance the performance of science, health, and technology professionals, empowering them to make better decisions, deliver better care, and sometimes make groundbreaking discoveries. Elsevier provides web-based, digital solutions — among them ScienceDirect, Scopus, Elsevier Research Intelligence, and ClinicalKey —  and publishes nearly 2,200 journals, including The Lancet and Cell, and over 25,000 book titles, including a number of iconic reference works.

The company is part of Reed Elsevier Group PLC, a world leading provider of professional information solutions in the Science, Medical, Legal and Risk and Business sectors",Aureus Sciences provides databases and information tools for pharmaceutical and biotech companies.,,NA,,,,2013-12-15 15:28:21.450000,False,False,False,False,True,
Autogrid-Systems,AutoGrid Systems,http://www.auto-grid.com,Redwood Shores,CA,94065,,,2011,0,Private,Energy,Not reported by company,"AutoGrid Systems is organizing the world's energy data by bringing Internet scale cloud-computing to process and analyze the petabytes of energy data produced from an increasingly networked and automated grid. AutoGrid then employs big data analytics pioneered in other industries to generate real-time predictions that creates actionable data for electricity generators, providers, grid operators, and their customers to improve the utilization of the grid and manage the cost to serve.","AutoGrid's Energy Data Platform is accessed through public or private cloud services, ensuring high security and privacy while reducing operational and capital expenses.",,NA,,,,2013-12-15 15:28:21.473000,False,False,False,False,True,
Avalara,Avalara,http://www.avalara.com,Bainbridge Island,WA,98110,,,0,0,,Finance & Investment,Not reported by company,"Avalara has created a web-based platform that provides a complete package of automated end to end compliance services. Just like outsourcing payroll, we believe the time has come for businesses of all sizes to outsource and automate the burdensome process of sales tax compliance.

Avalara works within your own financial, billing, ecommerce, or point of sale system to automate sales and use tax and compliance. Once configured, you never again worry about ever-changing, impenetrable rates, rules, boundaries, exemptions, tax holidays, reporting requirements, filing deadlines, etc. Avalara combines technology with the best available statutory content to deliver fully automated sales tax compliance solutions.","Avalara produces AvaTax, a cloud-based Software-as-a-Service (SaaS) solution that automatically delivers highly accurate tax decisions in real time.",,100+,,,,2013-12-15 15:28:21.498000,False,False,False,False,True,
Avvo,Avvo,http://www.avvo.com,Seattle,WA,98104,,,0,0,Private,Business & Legal Services,Not reported by company,"At Avvo, our mission is to help people make the best decisions for their important legal needs. Finding the right lawyer often comes at a critical time in life, most people have no idea how to go about doing it, and resources that offer answers to questions are overwhelming and difficult to understand.

Researcher's note on data: Avvo uses public records such as court records and records from state bar associations and regulatory agencies.","Avvo empowers consumers by rating lawyers and providing profiles with information including experience, background, disciplinary history, and reviews from clients.",,100+,,,,2013-12-15 15:28:21.520000,False,False,False,False,True,
Ayasdi,Ayasdi,http://www.ayasdi.com/,,CA,,,,2008,0,Private,Data/Technology,Not reported by company,"Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data. Our approach combines advanced machine-learning with Topological Data Analysis (TDA) to automate how data scientists, domain experts, and business people achieve value from their data without the need to write code, queries, or ask questions. Ayasdi’s customers include General Electric, Citigroup, Merck, Anadarko, U.S. Food and Drug Administration (FDA), Centers for Disease Control and Prevention (CDC), the University of California San Francisco (UCSF), and Mount Sinai Hospital.","Ayasdi is an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data.","Funded by Khosla Ventures, Institutional Venture Partners, GE Ventures, Citi Ventures, and FLOODGATE,",NA,,,,2014-04-04 22:06:14.778788,False,False,False,True,True,
Azavea,Azavea,azavea.com,Philadelphia,PA,19107,Robert,Cheetham,2000,35,Private,Geospatial/Mapping,"Data Management and Analytic Services, Subscriptions, Software Development Services, Open Source Software","Azavea is a certified B Corporation whose mission is to apply geospatial technology for positive civic and social impact while advancing the state-of-the-art through research. 

<p>Azavea was the original developer of the OpenDataPhilly.org community site and has released the source code as Open-Data-Catalog. Azavea is also the Open Data Institute (ODI) regional node for Philadelphia and operates the national Summer of Maps program that matches students with non-profit organizations with geospatial data challenges. Our work combines user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly. We also share much of our work by releasing it under open source licenses so that others can re-use it. These projects include OpenTreeMap, DistrictBuilder, GeoTrellis, and among others.</p>

<p>In addition to using open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others through creative new applications. Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.</p>",Azavea is a geospatial analysis (GIS) software development firm specializing in creating location-based web and mobile software as well as geospatial analysis services.,"Azavea is a bootstrap company that does not have any external investors. The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing. While the firm was originally founded in Philadelphia, it now serves clients across the United States and around the world.",100+,,The public release of LiDAR data and other high resolution imagery would be very helpful for a variety of projects if it occurred more frequently and consistently for all geographic areas in the United States. Generally not available as a comprehensive seamless data set and frequently delayed by years.,All information provided in this application can be made publicly available.,2013-12-15 15:27:39.585000,True,True,True,True,True,
