CompanyName,URL,city,STATE,abbrev,zipCode,ceoFirstName,ceoLastName,companyPreviousName,yearFounded,FTE,companyType,companyCategory,companyFunction,sectors,revenueSource,descriptionLong,descriptionShort,socialImpact,financialInfo,criticalDataTypes,datasetName,datasetURL,agencyOrDatasetSource,DATASETS
BuildZoom,www.buildzoom.com,San Francisco,California,CA,94105,Jiyan,Wei,Sharperoo,2010,12,Private,Housing/Real Estate,Consumer services (eg health care),Housing/Real Estate,"Advertising, Lead generation to other businesses","BuildZoom aggregates information on the remodeling industry from city and state governments, consumer protection agencies and users to provide consumers with an authoritative resource to help them make important decisions when remodeling their homes.  On BuildZoom, consumers can view information on every single contractor licensed to practice in the United States and also use a service request tool that algorithmically matches their proposal with the most eligible contractors in their area.  Contractors can add supplemental information to their automatically generated reports, share work photos and answer consumer questions on the site.",BuildZoom takes the pain out of remodeling your home.,General consumer satisfaction in various areas on the site.,Annual revenue from 2012 is around $200k.  Total investment includes $1.5M from one round of seed funding in 2013.,City/Local Open Data,,,State Contractor License Data,2
BuildZoom,www.buildzoom.com,San Francisco,California,CA,94105,Jiyan,Wei,Sharperoo,2010,12,Private,Housing/Real Estate,Consumer services (eg health care),Housing/Real Estate,"Advertising, Lead generation to other businesses","BuildZoom aggregates information on the remodeling industry from city and state governments, consumer protection agencies and users to provide consumers with an authoritative resource to help them make important decisions when remodeling their homes.  On BuildZoom, consumers can view information on every single contractor licensed to practice in the United States and also use a service request tool that algorithmically matches their proposal with the most eligible contractors in their area.  Contractors can add supplemental information to their automatically generated reports, share work photos and answer consumer questions on the site.",BuildZoom takes the pain out of remodeling your home.,General consumer satisfaction in various areas on the site.,Annual revenue from 2012 is around $200k.  Total investment includes $1.5M from one round of seed funding in 2013.,City/Local Open Data,,,City permit data ,2
"Calcbench, Inc.",calcbench.com,New York,New York, NY,10002,Pranav,Ghai,,2012,3,Private,Finance & Investment,Financial/investment services,Finance,"Subscriptions, Data management and analytic services","Calcbench is one of the first companies to fully harness the power of the new, government mandated data standard called XBRL. This gives us an unprecedented direct line into the SEC's corporate financial data repository. As a result, we are able to provide data with a whole new level of detail, faster, and at a much better value. Our expertise is that we process and store all XBRL filings in a uniquely structured, cloud based data universe; we use advanced computing techniques to identify and correct errors (close to half a million corrections made so far), and increase comparability between companies; and we make data available to you within minutes after a filing leaves the CFOs hands.","With collaborative and crowd-sourced components, Calcbench allows financial analysts, accountants, lawyers and investors to instantly access, work with and share SEC filing data, all right on our web page at www.calcbench.com.",Not answered by company,Not answered by company,Federal Open Data,,sec.gov,US Securities and Exchange Commission (SEC) ,1
Captricity,captricity.com,Berkeley,California, CA,94704,Kuang,Chen,,2011,10,Private,Data/Technology,Data management and analysis,"Other, As a data capture utility, we cut across nearly all these sectors","Subscriptions, User fees for web or mobile access","At Captricity, our mission is to unlock the information that drives the world forward for everyone. Captricity is an award-winning cloud-based service that turns paper information into digital data more easily, quickly, and cheaply than existing alternatives.","Captricity is a tech startup that has launched a completely self-serve data entry web service which extracts structured information, including handwriting, from paper forms.","Fields digitized - because if a customer pays for that data, we know it has value.",Venture funded - Social+Capital with Atlas Ventures and the Knight Foundation,City/Local Open Data,,http://www.fppc.ca.gov/,California Fair Political Practices Commission (FPPC) ,2
Captricity,captricity.com,Berkeley,California, CA,94704,Kuang,Chen,,2011,10,Private,Data/Technology,Data management and analysis,"Other, As a data capture utility, we cut across nearly all these sectors","Subscriptions, User fees for web or mobile access","At Captricity, our mission is to unlock the information that drives the world forward for everyone. Captricity is an award-winning cloud-based service that turns paper information into digital data more easily, quickly, and cheaply than existing alternatives.","Captricity is a tech startup that has launched a completely self-serve data entry web service which extracts structured information, including handwriting, from paper forms.","Fields digitized - because if a customer pays for that data, we know it has value.",Venture funded - Social+Capital with Atlas Ventures and the Knight Foundation,City/Local Open Data,,"http://www.irs.gov/uac/Form-990,-Return-of-Organization-Exempt-From-Income-Tax-",Internal Revenue Service (IRS) ,2
Civinomics,civinomics.com,Santa Cruz,California, CA,95060,Manu,Koenig,Greenocracy,2011,6,Private,Governance,Civic Input Management,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental, Finance, Health and Health Care, Housing/Real Estate, Social Assistance, Transportation",Lead generation to other businesses,"Civinomics has a mission to improve civic decision making through the collective creativity of communities. Our platform is extremely unique because we provide a one-stop-shop civic portal where people can engage in the issues they care about. They can also find the resources needed to make more educated decisions and find better solutions. Our platform provides a place for people to vote on ideas, discuss topics and ask questions, and share the relevant information needed to address an issue. It also closes the civic loop by allowing users to send these ideas directly to their leaders, and raise the necessary funds for implementation.",Civinomics is an online platform that provides a platform where people can civically engage on issues that matter to them.,"Civinomics can measure the impact by the number of new ideas that are adopted within a given community. Additionally, we value the number of people that take part in the decision-making process.","Civinomics.com launched on April 11, 2013 with local emphasis on Santa Cruz, CA. Our current site stats: 520+ users, with an average of 4.3 pages viewed. Multiple clients are secured for a client based business model (including the San Francisco Public Utilities Commission). However, we are now pivoting towards a crowdfunding/sponsor model. Current Private Funding = $160K.",City/Local Open Data,,http://2010.census.gov/2010census/,US Census Bureau,2
Civinomics,civinomics.com,Santa Cruz,California, CA,95060,Manu,Koenig,Greenocracy,2011,6,Private,Governance,Civic Input Management,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental, Finance, Health and Health Care, Housing/Real Estate, Social Assistance, Transportation",Lead generation to other businesses,"Civinomics has a mission to improve civic decision making through the collective creativity of communities. Our platform is extremely unique because we provide a one-stop-shop civic portal where people can engage in the issues they care about. They can also find the resources needed to make more educated decisions and find better solutions. Our platform provides a place for people to vote on ideas, discuss topics and ask questions, and share the relevant information needed to address an issue. It also closes the civic loop by allowing users to send these ideas directly to their leaders, and raise the necessary funds for implementation.",Civinomics is an online platform that provides a platform where people can civically engage on issues that matter to them.,"Civinomics can measure the impact by the number of new ideas that are adopted within a given community. Additionally, we value the number of people that take part in the decision-making process.","Civinomics.com launched on April 11, 2013 with local emphasis on Santa Cruz, CA. Our current site stats: 520+ users, with an average of 4.3 pages viewed. Multiple clients are secured for a client based business model (including the San Francisco Public Utilities Commission). However, we are now pivoting towards a crowdfunding/sponsor model. Current Private Funding = $160K.",City/Local Open Data,,,List of Registered Voters,2
Climate Corporation,http://www.climate.com,San Francisco,California,CA,94103,David,Friedberg,WeatherBill,2007,0,Data management and analysis,Environment & Weather,,Agriculture,Software licensing,"The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products. The company's proprietary Climate Technology Platform‚ combines hyper-local weather monitoring, agronomic data modeling, and high-resolution weather simulations to deliver Climate Basic‚ and Climate Pro‚ mobile SaaS solutions that helps farmers improve profitability by making better informed operating and financing decisions, and Total Weather Insurance, an insurance offering that pays farmers automatically for bad weather that may impact their profits. The company is also an authorized provider of the U.S. Federal crop insurance program, enabling authorized independent crop insurance agents to provide farmers with the industry's most powerful full-stack risk management solution. In the face of increasingly volatile weather, the global $3 trillion agriculture industry depends on the company's unique technologies to help stabilize and improve profits and, ultimately, help feed the world.",The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products.,Not answered by company,"Venture funding 2007 - 2012 through three round totaling around $110M. Investors include Google Ventures, Khosla Ventures, Founders Fund, Index Ventures and NEA.",Federal Open Data,Multi-sensor Radar Derived Daily Precipitation,www.ncep.noaa.gov,,2
Climate Corporation,http://www.climate.com,San Francisco,California,CA,94103,David,Friedberg,WeatherBill,2007,0,Data management and analysis,Environment & Weather,,Agriculture,Software licensing,"The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products. The company's proprietary Climate Technology Platform‚ combines hyper-local weather monitoring, agronomic data modeling, and high-resolution weather simulations to deliver Climate Basic‚ and Climate Pro‚ mobile SaaS solutions that helps farmers improve profitability by making better informed operating and financing decisions, and Total Weather Insurance, an insurance offering that pays farmers automatically for bad weather that may impact their profits. The company is also an authorized provider of the U.S. Federal crop insurance program, enabling authorized independent crop insurance agents to provide farmers with the industry's most powerful full-stack risk management solution. In the face of increasingly volatile weather, the global $3 trillion agriculture industry depends on the company's unique technologies to help stabilize and improve profits and, ultimately, help feed the world.",The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products.,Not answered by company,"Venture funding 2007 - 2012 through three round totaling around $110M. Investors include Google Ventures, Khosla Ventures, Founders Fund, Index Ventures and NEA.",Federal Open Data,High Resolution Soil Dataset ,http://www.usgs.gov/,,2
Construction Monitor LLC,www.constructionmonitor.com,Cedar City,Utah,UT,84721,David,Mineer Sr.,,1989,15,Private,Housing/Real Estate,Consumer services (eg health care),"Education, Finance, Geospatial data/mapping, Housing/Real Estate","Subscriptions, Database licensing","The Construction Monitor's vision is to compile and database every building permit (valuation over 10k) issued throughout the United States every week. Currently we have reached that goal in the Western United States and Texas. At the start of 2012 we launched a campaign to have the Eastern United States covered by the end of 2014. The company was founded in 1989. Over the years we have developed a proprietary system to collect and database building permits in ""real time"". The data is used by the construction industry for leads to find new work and the financial industry to forecast economic trends. There are many other industries (both public and private) that use building permit data in many different ways.","Construction Monitor provides the most timely, detailed and accurate building permit information available, delivering this information using state of the art technologies to continuously improve our work processes to satisfy our internal and external stakeholders.","Building permit information is a valuable resource for creating a more competitive environment in the construction industry just through knowledge of what's happening. Our permit data is more detailed and timely than the data provided by the Census Bureau. It contains all kinds of data for all kinds of construction. The detailed data is used by regulatory agencies for monitoring compliance with licensing, air quality, waste management, etc. School districts use the data for planning new schools. Metro development agencies use it for forecasting  growth and transportation needs. Utilities use it to insure infrastructure will be in place.","The company is owned by Dave Mineer Sr and son David Mineer Jr. At this time we have 23 employees and about 100 independent contractors throughout the world. Our gross revenues grew to little over $2,000,000 in 2008 and stayed there during the recession for 4 years. This year with the construction industry rebounding our goal is to reach $3,000,000 by the end of the year. We are currently self funded.",City/Local Open Data,,,Building Permit Data,1
Consumer Reports,www.consumerreports.org,Yonkers,,,10703,James,Guest,Consumers Union,1936,550,Nonprofit,Lifestyle & Consumer,Information for consumers,"Other, HHS/CMS, State Hospital Infection Data","Subscriptions, Philanthropy (foundations","Consumer Reports was founded in 1936 when advertising first flooded the mass media. Consumers lacked a reliable source of information they could depend on to help them distinguish hype from fact and good products from bad ones. Since then Consumer Reports has filled that vacuum with a broad range of consumer information. To maintain its independence and impartiality, Consumer Reports accepts no outside advertising and no free samples and employs several hundred mystery shoppers and technical experts to buy and test the products it evaluates.

Consumer Reports, is one of the top-circulation magazines in the country, and ConsumerReports.org, has the most subscribers of any website of its kind, in addition to two newsletters, Consumer Reports on Health and Consumer Reports Money Adviser. They have combined subscriptions of more than 8 million. All of Consumer Reports' work is informed by the more than 1 million readers who respond to our Annual Questionnaire, among the largest and most comprehensive consumer studies in the world. In 2008, Consumer Reports also launched several initiatives, including the Consumer Reports Health Ratings Center, which serve to educate and empower consumers to make more informed health-care decisions and to help change the market.","Consumer Reports is an expert, independent, nonprofit organization whose mission is to work for a fair, just, and safe marketplace for all consumers and to empower consumers to protect themselves.",Not answered by company,Not answered by company,State Open Data,,,US Department of Health and Human Services,1
"Energy Points, Inc.",energypoints.com,Boston,Massachusetts,MA,2108,Ory,Zik,,2011,16,Private,Energy,Data management and analysis,"Energy, Environmental, Geospatial data/mapping","Subscriptions, Software licensing","Energy Points uses a unifying metric, big data and comprehensive analytics to manage enterprise energy resources, such as electricity, fuels, water, and materials. The Company ""software-as-a-service (SaaS)"" platform combines advanced analytics with complex resource scarcity data to translate all resources into a unifying metric enabling a direct, one-to-one comparison of domains such as electricity, water, waste and fuel.

The Energy Resource Management (ERM) industry is growing rapidly, similar to Customer Relationship Management a few decades ago. However, the ERM Industry has been struggling to find a simple and accurate, unifying solution that enables operational management and optimization of energy resources (water, electricity, fuel, waste etc.) across enterprises.

Energy Points directly addresses how companies can maximize resource efficiency with immediate financial return enhancing operational excellence, sustainability and branding.","Energy Points uses a unifying metric, big data and comprehensive analytics to manage enterprise energy resources, such as electricity, fuels, water, and materials.",We engage and continue to work with faculty and students at colleges and universities to teach our quantitatively rigorous approach to resource sustainability. We also work on research projects related to energy and material efficiency meant to benefit the common understanding of sustainability and environmental performance.,"We allow organizations to optimize their financial and environmental performance. Our model is entirely business-to-business. We sell two products: a portal designed for organizations that consume multiple resources (electricity, water, etc.) typically in a large portfolio of assets. Our portal allows customers to analyze their portfolio, identify outliers, compare to benchmarks of environmental and financial performance as well as select and track projects. The other product is a software development kit (SDK) that serves as a calculation engine for companies that have their own portal.  We don't disclose revenue or funding figures.",City/Local Open Data,eGRID,http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html,US Environmental Protection Agency (EPA),2
"Energy Points, Inc.",energypoints.com,Boston,Massachusetts,MA,2108,Ory,Zik,,2011,16,Private,Energy,Data management and analysis,"Energy, Environmental, Geospatial data/mapping","Subscriptions, Software licensing","Energy Points uses a unifying metric, big data and comprehensive analytics to manage enterprise energy resources, such as electricity, fuels, water, and materials. The Company ""software-as-a-service (SaaS)"" platform combines advanced analytics with complex resource scarcity data to translate all resources into a unifying metric enabling a direct, one-to-one comparison of domains such as electricity, water, waste and fuel.

The Energy Resource Management (ERM) industry is growing rapidly, similar to Customer Relationship Management a few decades ago. However, the ERM Industry has been struggling to find a simple and accurate, unifying solution that enables operational management and optimization of energy resources (water, electricity, fuel, waste etc.) across enterprises.

Energy Points directly addresses how companies can maximize resource efficiency with immediate financial return enhancing operational excellence, sustainability and branding.","Energy Points uses a unifying metric, big data and comprehensive analytics to manage enterprise energy resources, such as electricity, fuels, water, and materials.",We engage and continue to work with faculty and students at colleges and universities to teach our quantitatively rigorous approach to resource sustainability. We also work on research projects related to energy and material efficiency meant to benefit the common understanding of sustainability and environmental performance.,"We allow organizations to optimize their financial and environmental performance. Our model is entirely business-to-business. We sell two products: a portal designed for organizations that consume multiple resources (electricity, water, etc.) typically in a large portfolio of assets. Our portal allows customers to analyze their portfolio, identify outliers, compare to benchmarks of environmental and financial performance as well as select and track projects. The other product is a software development kit (SDK) that serves as a calculation engine for companies that have their own portal.  We don't disclose revenue or funding figures.",City/Local Open Data,Water Use in the United States 2010,http://water.usgs.gov/watuse/,US Geological Survey (USGS) ,2
